Nihongo,English
Iz: 全然昼じゃないから意味ないけど...(笑),Iz: What will we do for dinner?
09:42,09:09
Iz: じゃあ乾杯ということで... おつかれさまでした！,Tr: Rice with salmon?
09:44,09:13
Tr: お疲れ様でした！,Iz: Perfect
09:51,09:37
Tr: 夜意味ないじゃん(笑) 雰囲気良いけど,"Iz: It's already dark, there’s little sense in the umbrella"
09:55,09:43
Iz: 人の目も気にならないし,Iz: Thanks for the job!
,09:51
,"Tr: At night, the umbrella is not needed at all"
