N3 Vocabulary,Character
"度 (do): degree, counter for occurrences",度
どきどき: to beat fast (of one’s heart),どきどき:
"毒 (doku): poison, toxicant",毒
独立 (dokuritsu): independence,独立
"独身 (dokushin): single, unmarried",独身
読書 (dokusho): reading,読書
"独特 (dokutoku): peculiarity, uniqueness",独特
"泥 (doro): mud, dirt",泥
"努力 (doryoku): great effort, exertion",努力
"同一 (douitsu): identical, same",同一
"当時 (touji): at that time, in those days",当時
"同時 (douji): simultaneous, concurrent",同時
銅貨 (douka): copper coin,銅貨
"どうか: please, one way or another",どうか:
同級生 (doukyuusei): classmate,同級生
"道路 (douro): road, highway",道路
"同僚 (douryou): coworker, colleague",同僚
動詞 (doushi): verb,動詞
"どうしても: by all means, at any cost",どうしても:
道徳 (doutoku): morals,道徳
"同様 (douyou): identical, same",同様
"柄 (e): handle, grip",柄
"描く (egaku): to draw, to paint",描く
笑顔 (egao): smiling face,笑顔
永遠 (eien): eternity,永遠
"営業 (eigyou): business, trade",営業
"影響 (eikyou): influence, effect",影響
永久 (eikyuu): eternity,永久
衛星 (eisei): satellite,衛星
"栄養 (eiyou): nutrition, nourishment",栄養
円 (en): Japanese money unit,円
"演技 (engi): acting, performance",演技
"援助 (enjo): assistance, aid",援助
延期 (enki): postponement,延期
"遠足 (ensoku): excursion, outing, trip",遠足
演奏 (ensou): musical performance,演奏
"演説 (enzetsu): speech, address",演説
"得る (eru): to get, to gain, to acquire",得る
"餌 (esa): feed, bait",餌
"不安 (fuan): anxiety, uneasiness",不安
"縁 (fuchi): rim, edge, brink",縁
"普段 (fudan): usual, habitual",普段
筆 (fude): writing brush,筆
"笛 (fue): flute, pipe",笛
"不平 (fuhei): complaint, dissatisfaction",不平
"夫人 (fujin): wife, madam",夫人
"婦人 (fujin): woman, lady, adult female",婦人
"不自由 (fujiyuu): discomfort, inconvenience",不自由
"不可 (fuka): wrong, bad, improper",不可
不可能 (fukanou): impossible,不可能
"不幸 (fukou): unhappiness, sorrow",不幸
"含む (fukumu): to contain, to comprise",含む
"袋 (fukuro): bag, sack",袋
"服装 (fukusou): garments, attire",服装
"不満 (fuman): dissatisfaction, displeasure",不満
雰囲気 (fun’iki): atmosphere,雰囲気
"ふらふら: unsteadily, shakily",ふらふら:
"触れる (fureru): to touch, to feel",触れる
"不利 (furi): disadvantage, handicap",不利
"振る (furu): to wave, to shake",振る
"震える (furueru): to shiver, to shake",震える
"防ぐ (fusegu): to defend, to protect",防ぐ
"不正 (fusei): injustice, unfairness",不正
"節 (fushi): joint, knuckle, tune",節
"不思議 (fushigi): wonder, miracle, strange",不思議
不足 (fusoku): insufficiency,不足
双子 (futago): twins,双子
"沸騰 (futtou): boiling, becoming heated",沸騰
"夫婦 (fuufu): married couple, spouses",夫婦
"風景 (fuukei): scenery, landscape",風景
"不要 (fuyou): unnecessary, unneeded",不要
"不用 (fuyou): disused, unused",不用
不用品 (fuyouhin): disused article,不用品
"害 (gai): injury, harm, damage",害
外国語 (gaikokugo): foreign language,外国語
外国産 (gaikokusan): of foreign manufacture,外国産
外交 (gaikou): diplomacy,外交
"外食 (gaishoku): eating out, dining out",外食
外出 (gaishutsu): going out,外出
"画家 (gaka): painter, artist",画家
がっかり (gakkari): feel disappointed,がっかり
学期 (gakki): school term,学期
楽器 (gakki): musical instrument,楽器
"学 (gaku): learning, scholarship",学
学部 (gakubu): department of a university,学部
"学問 (gakumon): learning, study",学問
学者 (gakusha): scholar,学者
"学習 (gakushuu): study, learning",学習
画面 (gamen): terminal screen,画面
"柄 (gara): pattern, design",柄
"芸術 (geijutsu): art, the arts",芸術
"外科 (geka): surgery, department of surgery",外科
"劇 (geki): drama, play",劇
劇場 (gekijou): theater,劇場
"現場 (genba): actual spot, scene",現場
"現代 (gendai): nowadays, modern era",現代
言語 (gengo): language,言語
"現実 (genjitsu): reality, actuality",現実
現状 (genjou): present condition,現状
"限界 (genkai): limit, bound",限界
"現金 (genkin): cash, ready money",現金
現象 (genshou): phenomenon,現象
"減少 (genshou): decrease, decline",減少
"現在 (genzai): now, current",現在
議長 (gichou): chairman,議長
議員 (giin): member of the Diet,議員
"議会 (gikai): congress, parliament",議会
"疑問 (gimon): question, doubt",疑問
"義務 (gimu): duty, obligation",義務
銀 (gin): silver,銀
"議論 (giron): argument, discussion",議論
"技師 (gishi): engineer, technician",技師
語 (go): language,語
語学 (gogaku): language study,語学
"豪華 (gouka): wonderful, gorgeous",豪華
誤解 (gokai): misunderstanding,誤解
"極 (goku): quite, very",極
"塵 (gomi): rubbish, trash",塵
"合格 (goukaku): passing (exam), success",合格
合計 (goukei): total amount,合計
"強盗 (goutou): robber, mugger",強盗
"軍 (gun): army, troop",軍
軍隊 (guntai): armed forces,軍隊
ぐっすり (gussuri): sound sleep,ぐっすり
"具体 (gutai): concrete, tangible",具体
"偶然 (guuzen): by chance, unexpectedly",偶然
"逆 (gyaku): reverse, opposite",逆
"行儀 (gyougi): manners, behavior",行儀
"幅 (haba): width, breadth",幅
"省く (habuku): to omit, to leave out",省く
肌 (hada): skin,肌
"裸 (hadaka): naked, nude",裸
"派手 (hade): showy, flashy",派手
"生える (haeru): to grow, to spring up",生える
"激しい (hageshii): violent, furious",激しい
母親 (hahaoya): mother,母親
灰 (hai): ashes,灰
"掃く (haku): to sweep, to brush",掃く
歯磨き (hamigaki): brushing one’s teeth,歯磨き
配送 (haisou): delivery,配送
"配達 (haitatsu): delivery, distribution",配達
"俳優 (haiyuu): actor, actress",俳優
"始まり (hajimari): origin, beginning",始まり
"墓 (haka): grave, tomb",墓
"計る (hakaru): to measure, to weigh",計る
博士 (hakase): doctorate,博士
"発見 (hakken): discovery, finding",発見
"発行 (hakkou): issue, publishing",発行
"履く (haku): to wear, to put on",履く
"吐く (haku): to vomit, to throw up",吐く
博物館 (hakubutsukan): museum,博物館
拍手 (hakushu): applause,拍手
花火 (hanabi): fireworks,花火
離れる (hanareru): to be separated,離れる
話し合う (hanashiau): to discuss,話し合う
話しかける (hanashikakeru): to start a conversation,話しかける
"離す (hanasu): to separate, to part",離す
"放す (hanasu): to release, to let go",放す
"花束 (hanataba): bunch of flowers, bouquet",花束
"花屋 (hanaya): florist, flower shop",花屋
"羽 (hane): feather, down",羽
"販売 (hanbai): sales, selling",販売
"判断 (handan): judgment, decision",判断
"範囲 (han’i): range, scope, extent",範囲
"反抗 (hankou): opposition, resistance",反抗
"犯人 (hannin): offender, criminal",犯人
半年 (hantoshi): half year,半年
"犯罪 (hanzai): crime, offense",犯罪
発表 (happyou): announcement,発表
"腹 (hara): abdomen, stomach",腹
"原 (hara): field, plain",原
"針 (hari): needle, pin",針
鋏 (hasami): scissors,鋏
破産 (hasan): bankruptcy,破産
"端 (hashi): end, edge",端
発車 (hassha): departure of a vehicle,発車
"発生 (hassei): outbreak, occurrence",発生
旗 (hata): flag,旗
畑 (hatake): field,畑
"働き (hataraki): work, labor",働き
"発達 (hattatsu): development, growth",発達
"発展 (hatten): development, growth",発展
"発売 (hatsubai): sale, launch (product)",発売
発明 (hatsumei): invention,発明
早めに (hayame ni): ahead of time,早めに
"外す (hazusu): to undo, to remove",外す
"塀 (hei): wall, fence",塀
平方メートル (heihou meetoru): square meter,平方メートル
"平日 (heijitsu): weekday, ordinary days",平日
"平均 (heikin): average, mean",平均
"平和 (heiwa): peace, harmony",平和
"変化 (henka): change, alteration",変化
"変更 (henkou): change, modification",変更
"返却 (henkyaku): return of something, repayment",返却
"減らす (herasu): to abate, to decrease",減らす
"減る (heru): to decrease, to diminish",減る
"費 (hi): cost, expense",費
"冷える (hieru): to grow cold, to get chilly",冷える
"被害 (higai): (suffering) damage, harm",被害
悲劇 (higeki): tragedy,悲劇
"批判 (hihan): criticism, judgment",批判
"批評 (hihyou): criticism, review",批評
"非常 (hijou): emergency, extraordinary",非常
比較 (hikaku): comparison,比較
"引き受ける (hikiukeru): to undertake, to accept",引き受ける
"飛行 (hikou): aviation, flight",飛行
轢く (hiku): to run over (with a vehicle),轢く
"秘密 (himitsu): secret, secrecy",秘密
"紐 (himo): string, cord",紐
"引っ張る (hipparu): to pull, to draw",引っ張る
"広がる (hirogaru): to spread out, to extend",広がる
"昼寝 (hirune): nap (afternoon), siesta",昼寝
"必死 (hisshi): frantic, desperate",必死
"額 (hitai): forehead, brow",額
"否定 (hitei): negation, denial",否定
人々 (hitobito): people; men and women,人々
人込み (hitogomi): crowd of people,人込み
"一言 (hitokoto): single word, a few words",一言
"一人暮らし (hitorigurashi): living by oneself, living alone",一人暮らし
等しい (hitoshii): equal,等しい
"費用 (hiyou): cost, expense",費用
"膝 (hiza): knee, lap",膝
日付 (hizuke): date,日付
"略 (hobo): almost, roughly",略
"歩道 (hodou): footpath, walkway",歩道
"吠える (hoeru): to bark, to howl",吠える
微笑む (hohoemu): to smile,微笑む
"誇り (hokori): pride, boast",誇り
埃 (hokori): dust,埃
"歩行者 (hokousha): pedestrian, walker",歩行者
骨 (hone): bone,骨
"本気 (honki): seriousness, earnestness, truth",本気
本物 (honmono): genuine article,本物
本人 (honnin): the person himself,本人
"炎 (honoo): flame, blaze",炎
"本屋 (hon’ya): bookstore, bookshop",本屋
頬 (hoo): cheek (of face),頬
"掘る (horu): to dig, to excavate",掘る
"保証 (hoshou): guarantee, security",保証
"干す (hosu): to dry, to drink up",干す
ほっと: with a feeling of relief,ほっと:
"保存 (hozon): preservation, conservation",保存
"方 (hou): direction, way, side",方
"法 (hou): law, act, principle",法
放題 (houdai): to one’s heart’s content,放題
"豊富 (houfu): abundance, wealth",豊富
"方法 (houhou): method, way, manner",方法
"報告 (houkoku): report, information",報告
"方向 (houkou): direction, way",方向
"訪問 (houmon): call, visit",訪問
"宝石 (houseki): gem, jewel",宝石
"放送 (housou): broadcast, broadcasting",放送
"表 (hyou): table, chart, list",表
"評判 (hyouban): fame, reputation",評判
"表現 (hyougen): expression, representation",表現
表情 (hyoujou): facial expression,表情
"評価 (hyouka): valuation, estimation",評価
"表面 (hyoumen): surface, face",表面
胃 (i): stomach,胃
"一致 (icchi): match, agreement",一致
"位置 (ichi): place, position",位置
"市場 (ichiba): market, the market place",市場
"一部 (ichibu): one part, one portion",一部
一度に (ichido ni): all at once,一度に
"一時 (ichiji): time, moment",一時
"一応 (ichiou): just in case , pretty much",一応
"一流 (ichiryuu): first-class, top grade",一流
偉大 (idai): greatness,偉大
抱く (idaku): to embrace,抱く
"移動 (idou): movement, transfer",移動
衣服 (ifuku): clothes,衣服
"意外 (igai): unexpected, surprising",意外
"違反 (ihan): violence, offense",違反
委員 (iin): committee member,委員
"維持 (iji): maintenance, preservation",維持
"異常 (ijou): strangeness, abnormality",異常
"一家 (ikka): a house, a home",一家
息 (iki): breath,息
"生き物 (ikimono): living thing, animal",生き物
"勢い (ikioi): force, vigor, energy",勢い
"以降 (ikou): hereafter, since",以降
居間 (ima): living room,居間
"今に (ima ni): before long, even now",今に
"今にも (ima ni mo): at any time, soon",今にも
稲 (ine): rice-plant,稲
"居眠り (inemuri): nodding off, dozing",居眠り
"命 (inochi): life, life force",命
"飲料 (inryou): beverage, drink",飲料
印刷 (insatsu): printing,印刷
"飲食 (inshoku): food and drink, eating and drinking",飲食
印象 (inshou): impression,印象
引退 (intai): retire,引退
"引用 (in’you): quotation, citation",引用
"一般 (ippan): general, universal",一般
"一方 (ippou): one way, the other way",一方
"以来 (irai): since, henceforth",以来
"依頼 (irai): request, commission",依頼
"苛々 (iraira): getting nervous, irritation",苛々
"衣類 (irui): clothes, garments",衣類
医療 (iryou): medical care,医療
"医師 (ishi): doctor, physician",医師
"意思 (ishi): intention, purpose",意思
"意志 (ishi): will, volition",意志
意識 (ishiki): consciousness,意識
"一生 (isshou): whole life, a lifetime",一生
"一種 (isshu): species, kind",一種
"一瞬 (isshun): instant, moment",一瞬
"一層 (issou): much more, still more",一層
"板 (ita): board, plank",板
"痛み (itami): pain, ache, soreness",痛み
痛む (itamu): to hurt,痛む
"至る (itaru): to arrive at, to reach",至る
"悪戯 (itazura): mischief, prank",悪戯
従兄弟 (itoko): cousin,従兄弟
一体 (ittai): what on earth…,一体
いつの間にか (itsunomanika): before one knows,いつの間にか
岩 (iwa): rock,岩
言わば (iwaba): so to speak,言わば
"祝う (iwau): to congratulate, to celebrate",祝う
"嫌がる (iyagaru): to hate, to dislike",嫌がる
"以前 (izen): ago, since, before",以前
"泉 (izumi): spring, fountain",泉
自動 (jidou): automatic,自動
自動販売機 (jidouhanbaiki): vending machine,自動販売機
自動車 (jidousha): automobile,自動車
"事実 (jijitsu): fact, truth, reality",事実
事情 (jijou): circumstances,事情
"直に (jika ni): directly, in person",直に
"事件 (jiken): event, affair, accident",事件
"時期 (jiki): time, season, period",時期
実家 (jikka): (one’s parents’) home,実家
実験 (jikken): experiment,実験
"実行 (jikkou): execution, practice",実行
"時刻 (jikoku): instant, time, moment",時刻
"自慢 (jiman): pride, boast",自慢
地面 (jimen): ground; earth’s surface,地面
"事務 (jimu): business, office work",事務
事務室 (jimushitsu): office (room),事務室
"人物 (jinbutsu): person, character, figure",人物
"人工 (jinkou): artificial, man-made",人工
"人類 (jinrui): mankind, humanity",人類
生 (jinsei): life,生
"人種 (jinshu): race (of people), type of person",人種
時差 (jisa): time difference,時差
自殺 (jisatsu): suicide,自殺
"自身 (jishin): by oneself, personally",自身
自信 (jishin): self-confidence,自信
"実際 (jissai): practical, reality",実際
"実施 (jisshi): enforcement, implementation",実施
実習 (jisshuu): practice (in the field),実習
事態 (jitai): situation,事態
"自宅 (jitaku): one’s home, one’s house",自宅
実現 (jitsugen): implementation,実現
"実力 (jitsuryoku): (real) ability, true strength",実力
実は (jitsu wa): as a matter of fact,実は
"実用 (jitsuyou): practical use, utility",実用
"徐々 (jojo): gradually, steadily",徐々
"女子 (joshi): woman, girl",女子
"助手 (joshu): helper, assistant",助手
女王 (joou): queen,女王
"丈夫 (joubu): healthy, robust, strong",丈夫
"冗談 (joudan): jest, joke",冗談
"上下 (jouge): up and down , top and bottom",上下
"上品 (jouhin): elegant, polished",上品
"情報 (jouhou): information, news",情報
"条件 (jouken): conditions, terms",条件
"上空 (joukuu): sky, upper air",上空
乗客 (joukyaku): passenger,乗客
上京 (joukyou): proceeding to the capital (Tokyo),上京
状況 (joukyou): state of affairs,状況
常識 (joushiki): common sense,常識
"状態 (joutai): condition, situation",状態
"上達 (joutatsu): improvement, advance",上達
"上等 (joutou): superiority, first-class",上等
女優 (joyuu): actress,女優
受験 (juken): taking an examination,受験
"順 (jun): order, turn",順
"順番 (junban): turn, order of things",順番
"順調 (junchou): favorable, doing well",順調
"銃 (juu): gun, rifle",銃
"重大 (juudai): serious, important",重大
柔道 (juudou): judo,柔道
"住民 (juumin): citizens, inhabitants",住民
"重視 (juushi): importance, stress",重視
"渋滞 (juutai): congestion, stagnation",渋滞
"住宅 (juutaku): residence, housing",住宅
"重要 (juuyou): important, essential",重要
"需要 (juyou): demand, request",需要
"株 (kabu): stock, share",株
被る (kaburu): to put on (one’s head),被る
"勝ち (kachi): win, victory",勝ち
"価値 (kachi): value, worth",価値
"替える (kaeru): to replace, to exchange",替える
"会 (kai): meeting, assembly",会
回 (kai): counter for occurrences,回
回復 (kaifuku): recovery,回復
"絵画 (kaiga): picture, painting",絵画
"会合 (kaigou): meeting, assembly",会合
"海外 (kaigai): foreign, abroad",海外
会員 (kaiin): member,会員
"会計 (kaikei): account, finance",会計
"改札 (kaisatsu): ticket gate, ticket barrier",改札
"解決 (kaiketsu): settlement, solution",解決
"快晴 (kaisei): clear weather, cloudless weather",快晴
会社員 (kaishain): company employee,会社員
"解釈 (kaishaku): explanation, interpretation",解釈
"開始 (kaishi): start, beginning",開始
"回収 (kaishuu): collection, retrieval",回収
"回数 (kaisuu): number of times, frequency",回数
"快適 (kaiteki): pleasant, comfortable",快適
改善 (kaizen): improvement,改善
化学 (kagaku): chemistry,化学
"輝く (kagayaku): to shine, to glitter",輝く
影 (kage): shadow,影
"加減 (kagen): adjustment, degree, extent",加減
鍵 (kagi): key,鍵
"限る (kagiru): to restrict, to limit",限る
"籠 (kago): basket, cage",籠
家具 (kagu): furniture,家具
家事 (kaji): housework,家事
抱える (kakaeru): to hold in the arms,抱える
"価格 (kakaku): price, value, cost",価格
かかる: to suffer from,かかる:
"関わる (kakawaru): to be concerned with, to have to do with",関わる
欠ける (kakeru): to be lacking,欠ける
"書き直す (kakinaosu): to write out, to rewrite",書き直す
"活気 (kakki): energy, liveliness",活気
"過去 (kako): the past, bygone days",過去
"囲む (kakomu): to surround, to encircle",囲む
"各地 (kakuchi): every place, various places",各地
拡大 (kakudai): magnification,拡大
"覚悟 (kakugo): resolution, readiness",覚悟
"確実 (kakujitsu): certainty, reliability",確実
"確認 (kakunin): confirmation, verification",確認
"隠れる (kakureru): to hide, to be hidden",隠れる
"隠す (kakusu): to hide, to conceal",隠す
"我慢 (gaman): patience, endurance",我慢
"構う (kamau): to mind, to care about",構う
"神 (kami): God, deity",神
"上 (kami): person of high rank, government",上
"雷 (kaminari): lightning, thunder",雷
髪の毛 (kami no ke): hair (head),髪の毛
科目 (kamoku): school subject,科目
"缶 (kan): can, tin",缶
"管 (kan): pipe, tube",管
"勘 (kan): perception, intuition",勘
"看板 (kanban): signboard, billboard",看板
必ずしも (kanarazushimo): not always,必ずしも
"可也 (kanari): considerably, fairly",可也
"悲しむ (kanashimu): to be sad, to mourn for",悲しむ
感動 (kandou): feeling deeply moved emotionally,感動
"考え (kangae): thinking, thought, view",考え
"歓迎 (kangei): welcome, reception",歓迎
"感激 (kangeki): deep emotion, impression",感激
患者 (kanja): patient,患者
"感じ (kanji): feeling, sense",感じ
"感じる (kanjiru): to feel, to sense",感じる
"勘定 (kanjou): calculation, counting",勘定
"感情 (kanjou): emotion, feeling",感情
"感覚 (kankaku): sense, sensation, feeling",感覚
"間隔 (kankaku): space, interval",間隔
観光 (kankou): sightseeing,観光
観光客 (kankoukyaku): tourist,観光客
"観客 (kankyaku): audience, spectator",観客
環境 (kankyou): environment,環境
"可能 (kanou): potential, possible",可能
"管理人 (kanrinin): administrator, manager",管理人
観察 (kansatsu): observation,観察
"感謝 (kansha): thanks, gratitude",感謝
"感想 (kansou): impressions, thoughts",感想
"乾燥 (kansou): drying (e.g. clothes), dryness",乾燥
香り (kaori): fragrance,香り
"空 (kara): emptiness, vacuum, blank",空
彼ら (karera): they (usually male),彼ら
枯れる (kareru): to wither (of a plant),枯れる
"刈る (karu): to cut (hair), to mow (grass)",刈る
"火災 (kasai): conflagration, fire",火災
"重ねる (kasaneru): to pile up, to heap up",重ねる
稼ぐ (kasegu): to earn income,稼ぐ
"完成 (kansei): complete, completion",完成
"貸出 (kashidashi): lending, loaning",貸出
"賢い (kashikoi): wise, clever, smart",賢い
感心 (kanshin): admiration,感心
"関心 (kanshin): concern, interest",関心
"関連 (kanren): relation, connection",関連
"管理 (kanri): control, management",管理
"完了 (kanryou): completion, conclusion",完了
"関する (kansuru): to concern, to be related",関する
監督 (kantoku): supervision,監督
歌手 (kashu): singer,歌手
"型 (kata): model, type",型
肩 (kata): shoulder,肩
"方々 (katagata): they (people), you (plural)",方々
"片方 (katahou): one of a pair, one side",片方
"固まる (katamaru): to harden, to solidify",固まる
"刀 (katana): sword, katana",刀
語り合う (katariau): to talk together,語り合う
語る (kataru): to talk about,語る
"仮定 (katei): assumption, hypothesis",仮定
"動 (katsudou): action, activity",動
活用 (katsuyou): practical use,活用
"勝手 (katte): one’s own convenience, selfish",勝手
飼う (kau): to keep (a pet),飼う
"皮 (kawa): skin, pelt",皮
革 (kawa): leather,革
"可愛らしい (kawairashii): lovely, sweet",可愛らしい
"可哀そう (kawaisou): poor, pitiable",可哀そう
"川沿い (kawazoi): along the river, riverside",川沿い
"完全 (kanzen): perfection, completeness",完全
飾り (kazari): decoration,飾り
数える (kazoeru): to count,数える
数 (kazu): number,数
"けち: stinginess, cheapskate",けち:
経営 (keiei): management,経営
"敬意 (keii): respect, honor",敬意
"掲示 (keiji): notice, bulletin",掲示
"刑事 (keji): police detective, criminal matter",刑事
"掲示板 (keijiban): bulletin board, notice board",掲示板
景気 (keiki): business condition,景気
"警告 (keikoku): warning, advice",警告
"傾向 (keikou): tendency, trend",傾向
"計算 (keisan): calculation, reckoning",計算
"契約 (keiyaku): contract, agreement",契約
"経由 (keiyu): through, via",経由
"結果 (kekka): result, consequence",結果
"欠陥 (kekkan): defect, fault",欠陥
"結局 (kekkyoku): after all, eventually",結局
"煙 (kemuri): smoke, fumes",煙
"券 (ken): ticket, coupon",券
県 (ken): prefecture (of Japan),県
"建築 (kenchiku): construction, architecture",建築
"見学 (kengaku): inspection, field trip",見学
"見解 (kenkai): opinion, point of view",見解
健康 (kenkou): health,健康
研究者 (kenkyuusha): researcher,研究者
"研究所 (kenkyuusho): research institute, laboratory",研究所
憲法 (kenpou): constitution,憲法
"権利 (kenri): right, privilege",権利
"検査 (kensa): inspection, examination",検査
建設 (kensetsu): construction,建設
"見当 (kentou): aim, mark, direction",見当
"検討 (kentou): consideration, examination",検討
欠席 (kesseki): absence,欠席
"決心 (kesshin): determination, resolution",決心
"化粧 (keshou): make-up, cosmetics",化粧
"決定 (kettei): decision, determination",決定
"欠点 (ketten): weak point, weakness",欠点
血圧 (ketsuatsu): blood pressure,血圧
血液 (ketsueki): blood,血液
血液型 (ketsuekigata): blood type,血液型
結論 (ketsuron): conclusion,結論
気に入る (ki ni iru): to be pleased with,気に入る
"気の毒 (ki no doku): pitiful, unfortunate",気の毒
"希望 (kibou): hope, wish",希望
"希望者 (kibousha): applicant, candidate",希望者
"きちんと (kichinto): precisely, accurately",きちんと
"貴重 (kichou): precious, valuable",貴重
"寄付 (kifu): contribution, donation",寄付
"機嫌 (kigen): humor, temper, mood",機嫌
"期限 (kigen): time limit, deadline",期限
"企業 (kigyou): enterprise, undertaking",企業
