N4 Vocabulary,Character
人形 (ningyou): doll,人形
"匂い (nioi): scent, smell",匂い
"似る (niru): to resemble, to look like",似る
喉 (nodo): throat,喉
"残る (nokoru): to remain, to be left",残る
"乗り換える (norikaeru): to transfer (trains), to change (bus, train)",乗り換える
"乗り物 (norimono): vehicle, conveyance",乗り物
濡れる (nureru): to get wet,濡れる
"塗る (nuru): to paint, to plaster",塗る
盗む (nusumu): to steal,盗む
入学 (nyuugaku): entry to school or university,入学
入院 (nyuuin): hospitalization,入院
"落ちる (ochiru): to fall down, to drop",落ちる
踊り (odori): dance,踊り
"驚く (odoroku): to be surprised, to be astonished",驚く
踊る (odoru): to dance,踊る
"お祝い (oiwai): congratulations, celebration",お祝い
"お嬢さん (ojousan): (your) daughter, young lady",お嬢さん
"可笑しい (okashii): funny, strange, odd",可笑しい
"行う (okonau): to perform, to do",行う
"怒る (okoru): to get angry, to get mad",怒る
"起こす (okosu): to raise, to wake, to cause",起こす
億 (oku): hundred million,億
屋上 (okujou): rooftop,屋上
"贈り物 (okurimono): present, gift",贈り物
"遅れる (okureru): to be late, to be delayed",遅れる
"送る (okuru): to send, to dispatch",送る
"お祭り (omatsuri): festival, feast, carnival",お祭り
お見舞い (omimai): calling on someone who is ill,お見舞い
"お土産 (omiyage): present, souvenir",お土産
"玩具 (omocha): toy, plaything",玩具
"思い出す (omoidasu): to recall, to remember",思い出す
"表 (omote): surface, face, front, outside",表
"思う (omou): to think, to consider",思う
"お礼 (orei): thanks, gratitude",お礼
"折れる (oreru): to break, to be broken",折れる
"折る (oru): to break, to fracture",折る
押し入れ (oshiire): closet,押し入れ
"仰る (ossharu): to say, to speak",仰る
"お宅 (otaku): your house, your home, your family",お宅
"音 (oto): sound, noise",音
"落とす (otosu): to drop, to let fall",落とす
夫 (otto): husband,夫
お釣り (otsuri): change (for a purchase),お釣り
終わり (owari): the end,終わり
"親 (oya): parent, parents",親
歴史 (rekishi): history,歴史
"連絡 (renraku): to contact, to get in touch",連絡
"利用 (riyou): use, utilization",利用
"理由 (riyuu): reason, motive",理由
"留守 (rusu): absence, being away from home",留守
旅館 (ryokan): Japanese-style lodging,旅館
"両方 (ryouhou): both, both sides",両方
"寂しい (sabishii): lonely, lonesome, solitary",寂しい
"下がる (sagaru): to come down, to get lower",下がる
"探す (sagasu): to search, to look for",探す
"下げる (sageru): to hang, to lower",下げる
"最後 (saigo): last, final, latest",最後
"最近 (saikin): most recent, these days",最近
"最初 (saisho): beginning, first",最初
"坂 (saka): slope, hill",坂
"盛ん (sakan): popular, prosperous",盛ん
"さっき (sakki): some time ago, just now",さっき
昨夜 (sakuya): last night,昨夜
産業 (sangyou): industry,産業
さ来月 (saraigetsu): month after next,さ来月
さ来週 (saraishuu): week after next,さ来週
"差し上げる (sashiageru): to give, to offer",差し上げる
"騒ぐ (sawagu): to make noise, to rustle",騒ぐ
"触る (sawaru): to touch, to feel",触る
"政治 (seiji): politics, government",政治
"生活 (seikatsu): living, life",生活
"生産 (seisan): production, manufacture",生産
"西洋 (seiyou): the west, Western countries",西洋
"世界 (sekai): the world, society",世界
席 (seki): seat,席
"線 (sen): line, stripe, stria",線
背中 (senaka): back (of body),背中
先輩 (senpai): senior (at work or school),先輩
戦争 (sensou): war,戦争
"説明 (setsumei): explanation, exposition",説明
"世話 (sewa): looking after, help",世話
社長 (shachou): company president,社長
"社会 (shakai): society, public, community",社会
市 (shi): city,市
"試合 (shiai): match, game",試合
"しばらく: little while, short while",しばらく:
叱る (shikaru): to scold,叱る
"仕方 (shikata): way, method, means",仕方
"試験 (shiken): examination, exam, test",試験
"しっかり: tightly, firmly, securely",しっかり:
島 (shima): island,島
"市民 (shimin): citizen, citizenry, public",市民
"品物 (shinamono): goods, article, thing",品物
新聞社 (shinbunsha): newspaper company,新聞社
"心配 (shinpai): worry, concern, anxiety",心配
"親切 (shinsetsu): kindness, gentleness",親切
"調べる (shiraberu): to examine, to investigate",調べる
"知らせる (shiraseru): to notify, to advise, to inform",知らせる
下着 (shitagi): underwear,下着
"支度 (shitaku): preparation, arrangements",支度
"失礼 (shitsurei): discourtesy, impoliteness",失礼
"失敗 (shippai): failure, mistake, blunder",失敗
食事 (shokuji): meal,食事
"食料品 (shokuryouhin): foodstuff, groceries",食料品
小学校 (shougakkou): primary school,小学校
"紹介 (shoukai): introduction, presentation",紹介
"小説 (shousetsu): novel, (short) story",小説
"将来 (shourai): future, prospects",将来
招待 (shoutai): invitation,招待
"趣味 (shumi): hobby, pastime",趣味
出発 (shuppatsu): departure,出発
"出席 (shusseki): attendance, presence",出席
"習慣 (shuukan): habit, custom",習慣
祖母 (sobo): grandmother,祖母
"育てる (sodateru): to raise, to rear, to bring up",育てる
祖父 (sofu): grandfather,祖父
そんな (sonna): such,そんな
"それで (sore de): and, thereupon",それで
それほど (sore hodo): to that degree,それほど
"それに (sore ni): besides, in addition",それに
"そろそろ (sorosoro): soon, momentarily",そろそろ
卒業 (sotsugyou): graduation,卒業
"相談 (soudan): consultation, discussion",相談
"素晴らしい (subarashii): wonderful, splendid",素晴らしい
"滑る (suberu): to glide, to slide",滑る
"水道 (suidou): water supply, water service",水道
"過ぎる (sugiru): to pass through, to pass by",過ぎる
"凄い (sugoi): terrible, dreadful , amazing",凄い
水泳 (suiei): swimming,水泳
"すっかり (sukkari): all, completely, totally",すっかり
空く (suku): to become empty,空く
"隅 (sumi): corner, nook, recess",隅
"済む (sumu): to finish, to end",済む
"砂 (suna): sand, grit",砂
"進む (susumu): to advance, to go forward",進む
"捨てる (suteru): to throw away, to cast away",捨てる
数学 (suugaku): mathematics,数学
"正しい (tadashii): right, correct",正しい
退院 (taiin): discharge from hospital,退院
"大抵 (taitei): mostly, ordinarily",大抵
"たまに (tama ni): occasionally, once in a while",たまに
"棚 (tana): shelf, shelves",棚
"楽しみ (tanoshimi): enjoyment, pleasure",楽しみ
楽む (tanoshimu): to enjoy (oneself),楽む
"倒れる (taoreru): to fall, to collapse",倒れる
"足りる (tariru): to be sufficient, to be enough",足りる
"確か (tashika): sure, certain, positive",確か
"足す (tasu): to add, to top up",足す
"多数 (tasuu): large number, many",多数
畳 (tatami): tatami mat,畳
立てる (tateru): to stand up,立てる
"建てる (tateru): to build, to construct",建てる
"訪ねる (tazuneru): to visit, to call on",訪ねる
"尋ねる (tazuneru): to ask, to enquire",尋ねる
"手袋 (tebukuro): glove, mitten, mitt",手袋
"丁寧 (teinei): polite, courteous, careful",丁寧
"適当 (tekitou): suitable, proper, fit",適当
"点 (ten): point, dot, spot",点
天 (ten): sky,天
"店員 (ten’in): shop assistant, clerk",店員
天気予報 (tenkiyohou): weather forecast,天気予報
展覧会 (tenrankai): exhibition,展覧会
寺 (tera): temple (Buddhist),寺
"手伝う (tetsudau): to help, to assist, to aid",手伝う
"届ける (todokeru): to deliver, to send",届ける
"床屋 (tokoya): barbershop, barber",床屋
特別 (tokubetsu): special,特別
"特に (toku ni): particularly, especially",特に
特急 (tokkyuu): limited express,特急
泊まる (tomaru): to stay at (e.g. hotel),泊まる
"遠く (tooku): far away, distant",遠く
"通る (tooru): to go by, to go past",通る
"取り替える (torikaeru): to exchange, to replace",取り替える
"とうとう (toutou): finally, at",とうとう
"都合 (tsugou): circumstances, convenience",都合
"捕まえる (tsukamaeru): to catch, to arrest",捕まえる
月 (tsuki): moon,月
"付く (tsuku): to be attached, to adhere",付く
妻 (tsuma): wife,妻
"連れる (tsureru): to lead, to take (a person)",連れる
"釣る (tsuru): to fish, to lure in",釣る
"伝える (tsutaeru): to convey, to report",伝える
"包む (tsutsumu): to wrap up, to tuck in",包む
"続ける (tsuzukeru): to continue, to keep up",続ける
"続く (tsuzuku): to continue, to last, to go on",続く
腕 (ude): arm,腕
"植える (ueru): to plant, to grow, to raise",植える
"動く (ugoku): to move, to stir, to shift",動く
"受ける (ukeru): to receive, to get",受ける
"受付 (uketsuke): reception (desk), information desk",受付
"旨い (umai): delicious, appetizing",旨い
"運動 (undou): exercise, motion",運動
"運転 (unten): operation, operating",運転
"運転手 (untenshu): driver, chauffeur",運転手
"裏 (ura): reverse side, rear, back",裏
"嬉しい (ureshii): happy, glad",嬉しい
"売り場 (uriba): sales floor, counter (in shop)",売り場
"嘘 (uso): lie, falsehood",嘘
"打つ (utsu): to hit, to strike, to knock",打つ
"美しい (utsukushii): beautiful, lovely",美しい
"移る (utsuru): to move (house), to transfer (department)",移る
"写す (utsusu): to transcribe, to duplicate",写す
"別れる (wakareru): to part, to separate",別れる
"沸かす (wakasu): to boil, to heat",沸かす
"訳 (wake): reason, cause",訳
"沸く (waku): to grow hot, to boil",沸く
笑う (warau): to laugh,笑う
"割れる (wareru): to break, to be smashed",割れる
"割合 (wariai): rate, ratio",割合
忘れ物 (wasuremono): something forgotten,忘れ物
やはり (yahari): as expected,やはり
焼ける (yakeru): to be roasted,焼ける
"焼く (yaku): to burn, to roast, to bake",焼く
"役に立つ (yaku ni tatsu): to be helpful, to be useful",役に立つ
"約束 (yakusoku): promise, agreement",約束
止める (yameru): to stop,止める
"止む (yamu): to cease, to stop",止む
"優しい (yasashii): tender, kind, gentle",優しい
"痩せる (yaseru): to become thin, to slim",痩せる
やっと (yatto): at last,やっと
"柔らかい (yawarakai): soft, tender",柔らかい
"用 (you): business, task, errand",用
汚れる (yogoreru): to get dirty,汚れる
喜ぶ (yorokobu): to be delighted,喜ぶ
"寄る (yoru): to approach, to drop by",寄る
予習 (yoshuu): preparation for a lesson,予習
"予定 (yotei): plans, arrangement",予定
"用意 (youi): preparation, arrangements",用意
"用事 (youji): tasks, things to do",用事
"予約 (yoyaku): reservation, appointment",予約
湯 (yu): hot water,湯
"指 (yubi): finger, toe",指
指輪 (yubiwa): (finger) ring,指輪
夢 (yume): dream,夢
"輸入 (yunyuu): import, importation",輸入
"揺れる (yureru): to shake, to sway",揺れる
輸出 (yushutsu): export,輸出
"夕食 (yuushoku): evening meal, dinner",夕食
"残念 (zannen): deplorable, regret, bad luck",残念
"随分 (zuibun): very, extremely, surprisingly",随分
