English,Nihongo
child rearing,子育て
young children,幼児
young children,幼い子ども
kids grow,子どもが成長する
grow up spoiled,わがままに育つ
"admirable, VIP",えらい
pat… on the head,頭をなでる
spank,お尻をたたく
spank,お尻をぶつ
get into mischief,いたずらをする
mischievous,いたずらな
hold hands,手をつなぐ
let go,はなす
a child gets lost,子どもが迷子になる
a child following its mother,子どもが母親の跡をついていく
keep a dog,犬を飼う
take… out for a walk,散歩に連れていく
feed a dog,犬にえさをやる
feed a dog,犬にえさを与える
