N2 Vocabulary,Character
含める (fukumeru): to include (in a group or scope) ; to include (a nuance); to put in (an implication),含める
膨らます (fukuramasu): to swell; to expand; to inflate; to bulge,膨らます
膨らむ (fukuramu): to expand; to swell (out); to get big; to become inflated,膨らむ
福祉 (fukushi): welfare; well-being; social welfare; social security; social service,福祉
複数 (fukusuu): plural; multiple; several,複数
普及 (fukyuu): diffusion; spread; popularization; promulgation; familiarization,普及
不明 (fumei): unclear; obscure; indistinct; uncertain; ambiguous ; unknown; unidentified,不明
不明瞭 (fumeiryou): dimness; obscurity; indistinctness; unclear; unintelligible,不明瞭
ふもと : foot (of a mountain or hill); bottom; base,ふもと
ふらふら : unsteadily (e.g. on one’s feet); shakily; staggering; tottering; reeling; dizzily; giddily; wavering (in one’s mind); unsteadily; indecisively,ふらふら
触れ合い (fureai): contact; connectedness; rapport; mutual touching,触れ合い
触れ合う (fureau): to come into contact with; to touch (each other),触れ合う
振り込み (furikomi): payment made via bank deposit transfer,振り込み
振り向く (furimuku): to turn one’s face; to turn around; to look over one’s shoulder,振り向く
不良品 (furyouhin): inferior goods; defective product; defective goods,不良品
"塞ぐ (fusagu): to stop up; to close up; to block (up); to plug up; to shut up; to cover (ears, eyes, etc.); to close (eyes, mouth) ; to stand in the way; to obstruct ; to occupy; to fill up; to take up",塞ぐ
不採用 (fusaiyou): rejection (of an application),不採用
"負担 (futan): burden; load; responsibility ; bearing (a cost, responsibility, etc.); shouldering",負担
風 (fuu): appearance; air,風
不愉快 (fuyukai): unpleasant; disagreeable; displeasing; uncomfortable; unhappy,不愉快
街 (gai): … street; … quarter; … district,街
外観 (gaikan): outward appearance; exterior appearance; outward show; looks,外観
外見 (gaiken): outward appearance,外見
概要 (gaiyou): outline; summary; overview; abridgment; synopsis,概要
学費 (gakuhi): tuition; school expenses,学費
学業 (gakugyou): studies; schoolwork; classwork,学業
学年 (gakunen): academic year; school year,学年
学歴 (gakureki): academic background,学歴
学生課 (gakuseika): student affairs office,学生課
願望 (ganbou): desire; wish; aspiration,願望
頑丈 (ganjou): solid; firm; stout; burly; strong; sturdy,頑丈
頑固 (ganko): stubborn; obstinate; pigheaded,頑固
がらがら : with a clatter; with a rattle,がらがら
がっしり : firmly; solidly; sturdily; strongly; toughly,がっしり
合宿 (gasshuku): lodging together; training camp; boarding house,合宿
画用紙 (gayoushi): drawing paper,画用紙
芸能 (geinou): public entertainment; performing arts ; accomplishments; attainments,芸能
劇的 (gekiteki): dramatic; exciting; touching ; extreme,劇的
現代人 (gendaijin): modern person; people of today,現代人
現時点 (genjiten): present point (i.e. in history); at the present time,現時点
原稿 (genkou): manuscript; copy; draft; notes; contribution,原稿
原理 (genri): principle; theory; fundamental truth,原理
原料 (genryou): raw materials,原料
原作 (gensaku): original work,原作
原産 (gensan): place of origin; habitat,原産
厳守 (genshu): strict observance; rigid adherence; scrupulous compliance,厳守
原則 (gensoku): principle; general rule,原則
減速 (gensoku): deceleration,減速
幻想 (gensou): fantasy; illusion; vision; dream,幻想
限定 (gentei): limit; restriction,限定
現在地 (genzaichi): present location; current location; “you are here” (on map),現在地
議題 (gidai): topic of discussion; agenda,議題
疑問点 (gimonten): point of uncertainty; unclarified issue; doubt,疑問点
銀行員 (ginkouin): bank employee; bank staff member; bank clerk,銀行員
ぎりぎり : just barely; only just; at the very limit; at the last moment,ぎりぎり
儀式 (gishiki): ceremony; rite; ritual; service,儀式
ぎっしり : tightly (packed); densely; closely; crammed,ぎっしり
ぎざぎざ : notches; serration; indentation; jaggies (stair-step artifacts in computer images),ぎざぎざ
ごちゃごちゃ : messy; confused; chaotic; disorderly; mixed-up; jumbled up,ごちゃごちゃ
強引 (gouin): overbearing; coercive; pushy; forcible; high-handed,強引
ぐったり : limply; wearily; listlessly; languidly; exhaustedly; unenergetically,ぐったり
後日 (gojitsu): in the future; another day; later,後日
娯楽 (goraku): pleasure; amusement,娯楽
合同 (goudou): combination; union; incorporation; amalgamation; fusion,合同
愚痴 (guchi): idle complaint; grumble,愚痴
ぐんぐん : rapidly; vigorously; by leaps and bounds; steadily,ぐんぐん
行事 (gyouji): event; function,行事
行列 (gyouretsu): line; queue; procession; parade,行列
幅広い (habahiroi): extensive; wide; broad,幅広い
蜂 (hachi): bee; wasp,蜂
蜂蜜 (hachimitsu): honey,蜂蜜
鉢植え (hachiue): potted plant,鉢植え
破片 (hahen): fragment; broken piece; splinter; chip; shard,破片
背景 (haikei): background; scenery; backdrop; setting; circumstance; context ; backing; support (from behind the scenes),背景
廃止 (haishi): abolition; repeal,廃止
墓参り (hakamairi): visit to a grave,墓参り
"発揮 (hakki): show (of power, ability, etc.); exhibition; demonstration; display; manifestation",発揮
泊 (haku): counter for nights of a stay,泊
白衣 (hakui): white robe; (doctor’s) white gown,白衣
鼻水 (hanamizu): nasal mucus; dripping nose; snot,鼻水
話し合い (hanashiai): discussion; conference,話し合い
話し声 (hanashigoe): speaking voice; talking voice,話し声
話し手 (hanashite): speaker,話し手
販売者 (hanbaisha): seller; vendor,販売者
"反映 (han’ei): reflection (light, image, situation, attitude, etc.); reflecting ; influence; application (e.g. of an update)",反映
半額 (hangaku): half the amount (of money); half price; half fare,半額
半減 (hangen): reduction by half; halving,半減
恥 (haji): shame; embarrassment; disgrace,恥
反感 (hankan): antipathy; antagonism; animosity; revulsion; ill feeling,反感
半日 (hannichi): half day,半日
反発 (hanpatsu): opposition; rebellion; revolt; resistance; backlash; refusal ; rebounding; recoiling; repulsion,反発
張り切る (harikiru): to be in high spirits; to be full of vigor (vigour); to be enthusiastic; to be eager; to stretch to breaking point,張り切る
反論 (hanron): objection; refutation; rebuttal; counterargument,反論
半数 (hansuu): half the number,半数
腹を立てる (hara o tateru): to take offense; to take offence; to get angry; to lose one’s temper,腹を立てる
張り紙 (harigami): paper patch; paper backing; poster; sticker; label,張り紙
"挟む (hasamu): to hold between (e.g. one’s fingers, chopsticks); to grip (from both sides) ; to put between; to sandwich between; to insert; to interpose ; to insert (e.g. a break into proceedings); to interpose (e.g. an objection); to interject; to throw in (e.g. a joke)",挟む
発散 (hassan): emission; emanation; radiation; diffusion; dispersion ; letting out (feelings); venting,発散
発想 (hassou): idea; conception; way of thinking,発想
発送 (hassou): sending; forwarding; shipping,発送
働き手 (hatarakite): worker; breadwinner; supporter ; able person; able man; productive worker,働き手
果たす (hatasu): to accomplish; to achieve; to carry out; to fulfill; to fulfil; to realize; to execute; to perform; to do,果たす
発言 (hatsugen): statement; remark; observation; utterance; speech; proposal,発言
早口 (hayakuchi): fast-talking; rapid talking,早口
早まる (hayamaru): to be brought forward (e.g. by three hours); to be moved up; to be advanced ; to quicken; to speed up; to gather speed,早まる
流行り (hayari): fashion; fad; vogue; craze,流行り
"隔てる (hedateru): to separate (by distance, time, etc.); to isolate; to partition; to divide ; to interpose; to have between ; to alienate; to estrange",隔てる
平凡 (heibon): ordinary; common; commonplace; mediocre; unremarkable; undistinguished; uneventful,平凡
平気 (heiki): coolness; calmness; composure; unconcern,平気
弊社 (heisha): our firm; our company (humble),弊社
閉店 (heiten): closing up shop (for the day) ; stopping business; going out of business,閉店
変換  (henkan): change; conversion; transformation,変換 
変形 (henkei): transformation; variation; metamorphosis; modification; deformation; variety; deformity; monster,変形
返金 (henkin): repayment,返金
返品 (henpin): returned goods; returning purchased goods,返品
返信 (henshin): reply,返信
偏食 (henshoku): unbalanced diet,偏食
編集 (henshuu): editing; compilation,編集
返送 (hensou): sending back; return to sender,返送
返答 (hentou): reply; answer,返答
非 (hi): (prefix) un-; non-; an-,非
日当たり (hiatari): exposure to the sun; sunny place,日当たり
非凡 (hibon): extraordinary; uncommon; remarkable; unusual; rare; prodigious,非凡
日々 (hibi): every day; daily; day after day; days (e.g. good old days),日々
必着 (hicchaku): must arrive; must be received,必着
日帰り (higaeri): day trip,日帰り
日頃 (higoro): normally; habitually,日頃
引き込む (hikikomu): to pull into; to draw in; to bring in ; to win over,引き込む
引き止める (hikitomeru): to detain; to check; to restrain,引き止める
引き取る (hikitoru): to take into one’s possession; to receive; to accept; to collect; to claim ; to take (a person) into one’s care; to take custody of; to adopt,引き取る
引き続き (hikitsuzuki): continuously; continually; without a break ; next; then; after that,引き続き
引き渡す (hikiwatasu): to deliver; to extradite; to stretch across; to hand over,引き渡す
引っかかる (hikkakaru): to be caught in; to be stuck in ; to get mixed up in (trouble); to get entangled in (a problem); to be involved with,引っかかる
筆記 (hikki): (taking) notes; copying ; writing,筆記
非公式 (hikoushiki): informal; unofficial,非公式
"惹く (hiku): to draw (attention, sympathy, etc.); to attract (e.g. interest)",惹く
卑怯 (hikyou): cowardice; meanness; unfairness,卑怯
非難 (hinan): criticism; blame; censure; attack; reproach,非難
避難 (hinan): taking refuge; finding shelter; evacuation; escape; seeking safe haven,避難
品質 (hinshitsu): (material) quality,品質
比例 (hirei): proportion,比例
広場 (hiroba): plaza; (public) square; piazza; forum; open space,広場
広々 (hirobiro): extensive; spacious,広々
広がり (hirogari): spread; span; expanse; extent,広がり
広げる (hirogeru): to spread; to extend; to expand; to enlarge; to widen; to broaden; to unfold; to open; to unroll; to unwrap,広げる
秘書 (hisho): (private) secretary ; treasured book; secret book,秘書
潜む (hisomu): to lurk; to be hidden; to be concealed; to lie dormant; to be latent,潜む
筆者 (hissha): writer; author,筆者
ひそひそ : in a whisper; in a low voice; in undertones,ひそひそ
密か (hisoka): secret; private; surreptitious,密か
秘する (hisuru): to keep secret; to conceal,秘する
ひたすら : intently; single‐mindedly; devotedly; solely; earnestly; with all one’s heart,ひたすら
人前 (hitomae): presence of other people; (in) public; (in) front of others,人前
ひと昔 (hitomukashi): ages; long time; decade; the past ten years,ひと昔
一人残らず (hitorinokorazu): everyone,一人残らず
"必要不可欠 (hitsuyoufukaketsu): essential; indispensable; imperative; necessary; compelling, vital, critical",必要不可欠
冷やす (hiyasu): to cool (from room temperature); to chill; to refrigerate; to calm down; to cool off; to regain one’s composure; to relax ; to be frightened (at); to be scared (of),冷やす
日差し (hizashi): sunlight; rays of the sun,日差し
保護者 (hogosha): guardian; protector; patron; parent,保護者
保育園 (hoikuen): nursery school; day nursery; preschool,保育園
保育所 (hoikusho): nursery school; nursery,保育所
補助 (hojo): assistance; support; aid; help ; subsidy; supplement; subvention; grant-in-aid,補助
歩行 (hokou): walk,歩行
本番 (honban): performance; take; going before an audience or on-air ; game; season; crucial moment,本番
本業 (hongyou): principal occupation; core business,本業
本格 (honkaku): original method or procedure; serious; orthodox; classical; genuine,本格
本日 (honjitsu): today,本日
本来 (honrai): originally; primarily ; essentially; intrinsically; naturally; by nature; in (and of) itself,本来
本社 (honsha): head office; main office; headquarters; parent company; this company; this shrine,本社
本心 (honshin): true feelings,本心
保守 (hoshu): maintenance; conservatism; conservativeness; conservation,保守
補足 (hosoku): supplement; complement,補足
細長い (hosonagai): long and narrow,細長い
舗装 (hosou): pavement; road surface,舗装
欲する (hossuru): to want; to desire,欲する
包丁 (houchou): kitchen knife; carving knife,包丁
報道 (houdou): information; report; journalism; news,報道
放映 (houei): televising; broadcasting; airing,放映
放課後 (houkago): after school,放課後
報告書 (houkokusho): (written) report,報告書
方面 (houmen): direction; district; area,方面
方針 (houshin): policy; plan; course; principle; objective,方針
表示 (hyouji): indication; expression; showing; manifestation; demonstration ; display; displaying,表示
評論 (hyouron): criticism; critique,評論
"表紙 (hyoushi): cover (of a book, magazine, etc.); binding",表紙
異 (i): (prefix) different,異
居場所 (ibasho): whereabouts; place; location; place where one belongs; where one fits in; place where one can be oneself,居場所
いちいち : one-by-one; separately; every single; each and every; without omission; fully; in detail,いちいち
一段 (ichidan): more; much more; still more; all the more,一段
一段落 (ichidanraku): reaching a stopping place; settling down (before the next stage); getting to a point where one can rest; completing the first stage (of the work),一段落
一面 (ichimen): one face; one surface ; the whole surface ; one aspect; one side ; (on) the other hand,一面
一覧 (ichiran): look; glance; sight; inspection ; summary; list; table; catalog; catalogue,一覧
一例 (ichirei): example; an instance,一例
一時休業 (ichijikyuugyou): temporary suspension (of business); brief shutdown,一時休業
著しい (ichijirushii): striking; remarkable; considerable,著しい
一助 (ichijo): help; assistance,一助
遺伝 (iden): heredity; (genetic) inheritance,遺伝
遺伝子 (idenshi): gene; genetic,遺伝子
意外性 (igaisei): unpredictability; element of surprise,意外性
意義 (igi): meaning; significance,意義
居心地 (igokochi): comfort,居心地
いい加減 (iikagen): irresponsible; perfunctory; careless ; lukewarm; half-baked; halfhearted; vague ; reasonable; moderate,いい加減
言い訳 (iiwake): excuse; explanation,言い訳
意地悪 (ijiwaru): malicious; ill-tempered; unkind,意地悪
怒り (ikari): anger; rage; fury; wrath; indignation,怒り
"生かす (ikasu): to make (the best) use of; to put to good use; to leverage (skills, attributes, experience, etc.); to capitalise on (experience, etc.)",生かす
生き生き (ikiiki): in a lively way; vividly; freshly; animatedly; actively; energetically,生き生き
いきなり : abruptly; suddenly; all of a sudden; without warning,いきなり
生き残る (ikinokoru): to survive,生き残る
息抜き (ikinuki): taking a breather; relaxation; vent hole,息抜き
一見 (ikken): look; glimpse; glance ; apparently; seemingly,一見
一気に (ikki ni): in one go; in one gulp; in one breath; without stopping; without pausing; without resting; in one sitting; at a stretch; all at once,一気に
一向に (ikkou ni): completely; absolutely; totally ; (not) at all; (not) a bit; (not) in the least ; earnestly; intently; determinedly,一向に
移行 (ikou): switching over to; migration; transition,移行
育児 (ikuji): childcare; child-rearing; nursing; upbringing,育児
育成 (ikusei): rearing; training; nurture; cultivation; promotion,育成
いまいち : not quite (right); not very good; somewhat (lacking),いまいち
印鑑 (inkan): stamp; seal,印鑑
飲料水 (inryousui): drinking water,飲料水
印刷物 (insatsubutsu): printed matter,印刷物
飲食店 (inshokuten): restaurant,飲食店
一方的 (ippouteki): one-sided; unilateral; arbitrary,一方的
入れ込む (irekomu): to put in; to place inside; to push into; to stuff into ; to be enthusiastic; to be engrossed,入れ込む
入り替える (irikaeru): to replace; to substitute; to shift; to change places,入り替える
衣装 (ishou): clothing; costume; outfit; garment; dress,衣装
急ぎ (isogi): haste; hurry; expedition; speed; dispatch,急ぎ
一斉に (issei ni): simultaneously; all at once; in unison,一斉に
傷む (itamu): to be spoiled (e.g. food); to be damaged,傷む
意図 (ito): intention; aim; design,意図
嫌々 (iyaiya): unwillingly; grudgingly; reluctantly,嫌々
意欲 (iyoku): will; desire; ambition; urge (e.g. creative urge),意欲
痛ましい (itamashii): pitiful; heartbreaking; heartrending; touching; tragic; sad; hurtful,痛ましい
痛める (itameru): to hurt; to injure; to cause pain ; to harm; to damage; to spoil,痛める
一斉に (issei ni): simultaneously; all at once; in unison,一斉に
一色 (isshoku): same tendency; everyone being caught up in the same thing ; one color,一色
"移転 (iten): moving; relocation; change of address ; transfer (of deeds, property, etc.); demise",移転
一旦 (ittan): once; for a short time; briefly; temporarily,一旦
一定 (ittei): fixed; settled; constant; definite; uniform; regularized; regularised; defined; standardized; standardised; certain; prescribed,一定
一転 (itten): complete change; reversal; sudden transformation,一転
居酒屋 (izakaya): izakaya; Japanese bar that also serves various dishes and snacks,居酒屋
依然 (izen): still; as yet; as it has been,依然
事物 (jibutsu): things; affairs,事物
実地 (jicchi): practice (as opposed to theory); actual practice ; actual site; (at) the scene; (on) the spot,実地
自治体 (jichitai): municipality; local government; self-governing body; autonomous body,自治体
児童 (jidou): children; juvenile,児童
次回 (jikai): next time (occasion),次回
事業 (jigyou): project; enterprise; business; industry; operations; venture; service,事業
時事 (jiji): events of the day; current affairs,時事
次回 (jikai): next time (occasion),次回
時間帯 (jikantai): period of time; time slot; time zone,時間帯
自覚 (jikaku): self-consciousness; self-awareness,自覚
実感 (jikkan): real feeling; actual feeling,実感
実験者 (jikkensha): experimenter; researcher,実験者
じっくり: deliberately; carefully; thoroughly; without rushing,じっくり:
自己 (jiko): self; oneself,自己
時給 (jikyuu): hourly pay; hourly wage,時給
地元 (jimoto): home area; home town ; local,地元
人工物 (jinkoubutsu): artificial object; man-made object; artifact; artefact,人工物
人工知能 (jinkouchinou): artificial intelligence; AI,人工知能
人材 (jinzai): capable person; talented person ; human resources; personnel,人材
事例 (jirei): example; precedent; case,事例
自律 (jiritsu): autonomy (philosophy) ; self-control,自律
持参 (jisan): bringing; taking; carrying,持参
自社 (jisha): one’s company; company one works for,自社
"実質 (jisshitsu): substance; essence ; real (in economics, vs. nominal, e.g. real interest rate); substantive; substantial; essential; tangible",実質
自主 (jishu): independence; autonomy; self-reliance,自主
自習 (jishuu): self-study; teaching oneself,自習
実績 (jisseki): achievements; actual results; accomplishments; past results; track record,実績
実践 (jissen): practice; putting into practice; implementation,実践
実施 (jisshi): enforcement; implementation; putting into practice; carrying out; operation; working (e.g. working parameters); enactment,実施
自体 (jitai): itself,自体
辞退 (jitai): declining; refusal; nonacceptance; turning down; withdrawal (e.g. of candidacy); pulling out (e.g. of a race); excusing oneself,辞退
時点 (jiten): point in time; occasion,時点
事典 (jiten): encyclopedia; cyclopedia,事典
事前 (jizen): prior; beforehand; in advance; before the fact; ex ante,事前
慈善 (jizen): charity; philanthropy,慈善
持続 (jizoku): continuation; persisting; lasting; sustaining; enduring,持続
じたばた : (kicking and) struggling; wriggling; floundering,じたばた
序列 (joretsu): rank; ranking order; hierarchy,序列
助手席 (joshuseki): passenger seat; assistant driver’s seat,助手席
上部 (joubu): top part; surface,上部
上半身 (jouhanshin): upper half of (one’s) body; upper body; bust,上半身
蒸発 (jouhatsu): evaporation; disappearance (of people intentionally concealing their whereabouts); unexplained disappearance,蒸発
上位 (joui): superior (in rank); top; ranking,上位
情景 (joukei): spectacle; sight; scene,情景
上級者 (joukyuusha): advanced student; advanced learner; advanced practitioner; experienced person,上級者
