Frequency ranking,Lexeme,Standard Orthography (in newspapers),Standard Reading (in Hiragana),Meaning
10284,確固,確固,かっこ,
10284,朧,おぼろ,おぼろ,
10284,多め,多め,おおめ,
10408,緊密,緊密,きんみつ,
10460,無闇,むやみ,むやみ,
10460,早急,早急,さっきゅう,
10460,冷ややか,冷ややか,ひややか,
10460,怪訝,怪訝,けげん,
10614,大雑把,大ざっぱ,おおざっぱ,
10614,物的,物的,ぶってき,
10821,頑丈,頑丈,がんじょう,
10977,切実,切実,せつじつ,
11024,勇敢,勇敢,ゆうかん,
11134,格段,格段,かくだん,
11134,気掛かり,気がかり,きがかり,
11193,盛大,盛大,せいだい,
11193,別個,別個,べっこ,
11193,長閑,のどか,のどか,
11251,量的,量的,りょうてき,
11319,裏腹,裏腹,うらはら,
11319,整然,整然,せいぜん,
11369,下品,下品,げひん,
11369,可憐,可憐,かれん,
11473,黙々,黙々,もくもく,
11473,小まめ,小まめ,こまめ,
11473,茫然,ぼう然,ぼうぜん,
11528,手頃,手ごろ,てごろ,
11642,混沌,混沌,こんとん,
11707,唖然,唖然,あぜん,
11707,虚ろ,うつろ,うつろ,
11763,繁華,繁華,はんか,
11763,丹念,丹念,たんねん,
11763,高め,高め,たかめ,
11763,天晴,天晴,あっぱれ,
11823,簡素,簡素,かんそ,
11940,劣等,劣等,れっとう,
11940,悠々,ゆうゆう,ゆうゆう,
12009,大々,大々,だいだい,
12009,美妙,美妙,びみょう,
12071,寛大,寛大,かんだい,
12071,しなやか,しなやか,しなやか,
12149,にこやか,にこやか,にこやか,
12149,利口,利口,りこう,
12216,有数,有数,ゆうすう,
12285,安らか,安らか,やすらか,
12285,クリーン,クリーン,くりーん,
12285,心的,心的,しんてき,
12343,零細,零細,れいさい,
12470,周到,周到,しゅうとう,
12470,ダイナミック,ダイナミック,だいなみっく,
12470,凶悪,凶悪,きょうあく,
12470,苛酷,苛酷,かこく,
12470,ダイレクト,ダイレクト,だいれくと,
12525,スマート,スマート,すまーと,
12525,遺憾,遺憾,いかん,
12525,斯様,かよう,かよう,
12525,安楽,安楽,あんらく,
12525,艶やか,あでやか,あでやか,
12603,まちまち,まちまち,まちまち,
12603,頑な,かたくな,かたくな,
12685,足早,足早,あしばや,
12907,霊的,霊的,れいてき,
12995,地道,地道,じみち,
12995,仄か,ほのか,ほのか,
12995,格安,格安,かくやす,
13146,大掛かり,大がかり,おおがかり,
13146,大らか,おおらか,おおらか,
13226,細心,細心,さいしん,
13318,真摯,真し,しんし,
13457,陰気,陰気,いんき,
13457,病的,病的,びょうてき,
13540,絶大,絶大,ぜつだい,
13540,過酷,過酷,かこく,
13540,円満,円満,えんまん,
13540,美的,美的,びてき,
13540,優良,優良,ゆうりょう,
13540,淫ら,みだら,みだら,
13639,疎ら,まばら,まばら,
13639,ノーマル,ノーマル,のーまる,
13726,達者,達者,たっしゃ,
13805,清らか,屋根裏,やねうら,
13898,温か,新羅,しらぎ,
13980,優美,優美,ゆうび,
14062,華奢,きゃしゃ,きゃしゃ,
14153,簡略,簡略,かんりゃく,
14153,毅然,毅然,きぜん,
14153,騒然,騒然,そうぜん,
14244,声高,声高,こわだか,
14244,徒ら,いたずら,いたずら,
14244,小さめ,小さめ,ちいさめ,
14351,希少,希少,きしょう,
14351,貪欲,貪欲,どんよく,
14351,熱烈,熱烈,ねつれつ,
14454,優等,優等,ゆうとう,
14454,セクシー,セクシー,せくしー,
14547,スリム,スリム,すりむ,
14640,なだらか,なだらか,なだらか,
14640,神妙,神妙,しんみょう,
14814,不毛,不毛,ふもう,
14814,絶妙,絶妙,ぜつみょう,
14814,ハンサム,ハンサム,はんさむ,
14914,緻密,ち密,ちみつ,
15032,軽やか,軽やか,かろやか,
15148,肝要,肝要,かんよう,
15148,念入り,念入り,ねんいり,
15148,ふんだん,ふんだん,ふんだん,
15148,健常,健常,けんじょう,
15245,堅固,堅固,けんご,
15245,雄大,雄大,ゆうだい,
15245,ユニバーサル,ユニバーサル,ゆにばーさる,
15245,メンタル,メンタル,めんたる,
15365,果敢,果敢,かかん,
15468,蔑ろ,ないがしろ,ないがしろ,
15468,不可避,不可避,ふかひ,
15574,瞭然,瞭然,りょうぜん,
15574,リッチ,リッチ,りっち,
15574,ルーズ,ルーズ,るーず,
15574,敬虔,敬虔,けいけん,
15703,几帳面,きちょうめん,きちょうめん,
15703,性急,性急,せいきゅう,
15831,雑多,雑多,ざった,
15963,目茶目茶,めちゃめちゃ,めちゃめちゃ,
16075,擦れ擦れ,すれすれ,すれすれ,
16211,厳粛,厳粛,げんしゅく,
16211,濃やか,こまやか,こまやか,
16211,シャイ,シャイ,しゃい,
16211,ちっぽけ,ちっぽけ,ちっぽけ,
16211,円やか,まろやか,まろやか,
16211,恍惚,恍惚,こうこつ,
16211,ワイルド,ワイルド,わいるど,
16348,斬新,斬新,ざんしん,
16348,更,更,さら,
16348,健気,けなげ,けなげ,
16348,気長,気長,きなが,
16474,ざら,ざら,ざら,
16617,満々,満々,まんまん,
16617,取々,とりどり,とりどり,
16617,妄り,みだり,みだり,
16617,悠然,悠然,ゆうぜん,
16743,親身,親身,しんみ,
16743,鬱蒼,鬱蒼,うっそう,
16743,どない,どない,どない,
16867,和やか,和やか,なごやか,
17004,長め,長め,ながめ,
17145,痛烈,痛烈,つうれつ,
17306,真っ当,まっとう,まっとう,
17306,克明,克明,こくめい,
17306,ラジカル,ラジカル,らじかる,
17306,奔放,奔放,ほんぽう,
17306,詩的,詩的,してき,
17632,入念,入念,にゅうねん,
17632,疎遠,疎遠,そえん,
17632,小振り,小ぶり,こぶり,
17632,血塗れ,血まみれ,ちまみれ,
17789,闇雲,闇雲,やみくも,
17789,甚大,甚大,じんだい,
17789,がりがり,ガリガリ,がりがり,
17942,酷,酷,こく,
17942,豪快,豪快,ごうかい,
17942,厳か,厳か,おごそか,
18084,狡猾,狡猾,こうかつ,
18236,甘美,甘美,かんび,
18236,物騒,物騒,ぶっそう,
18236,割高,割高,わりだか,
18424,機敏,機敏,きびん,
18424,健やか,すこやか,すこやか,
18424,朦朧,もうろう,もうろう,
18424,フレンドリー,フレンドリー,ふれんどりー,
18601,激烈,激烈,げきれつ,
18601,かちかち,かちかち,かちかち,
18601,凶暴,凶暴,きょうぼう,
18601,雑然,雑然,ざつぜん,
18601,太め,太め,ふとめ,
18778,デリケート,デリケート,でりけーと,
18778,グレート,グレート,ぐれーと,
18778,カラフル,カラフル,からふる,
18778,溌剌,はつらつ,はつらつ,
18778,ぐちゃぐちゃ,ぐちゃぐちゃ,ぐちゃぐちゃ,
18951,歴然,歴然,れきぜん,
18951,くたくた,くたくた,くたくた,
18951,緩慢,緩慢,かんまん,
18951,高らか,高らか,たからか,
18951,ほしいまま,ほしいまま,ほしいまま,
19125,ひたむき,ひたむき,ひたむき,
19125,動的,動的,どうてき,
19294,論外,論外,ろんがい,
19294,鋭敏,鋭敏,えいびん,
19294,気さく,気さく,きさく,
19294,シビア,シビア,しびあ,
19294,身軽,身軽,みがる,
19294,安上がり,安上がり,やすあがり,
19294,荒涼,荒涼,こうりょう,
19294,邪険,邪険,じゃけん,
19497,誇大,誇大,こだい,
19497,颯爽,颯爽,さっそう,
19497,かりかり,かりかり,かりかり,
19690,タフ,タフ,たふ,
19690,不確か,不確か,ふたしか,
19690,ヒステリック,ヒステリック,ひすてりっく,
19690,不敵,不敵,ふてき,
19898,好き勝手,好き勝手,すきかって,
19898,低め,低め,ひくめ,
19898,デラックス,デラックス,でらっくす,
20120,法外,法外,ほうがい,
20120,シック,シック,しっく,
20120,横柄,横柄,おうへい,
20120,清楚,清楚,せいそ,
20120,大仰,大仰,おおぎょう,
20120,クリエーティブ,クリエーティブ,くりえーてぃぶ,
20298,我武者羅,がむしゃら,がむしゃら,
20298,如何様,いかよう,いかよう,
20298,エレガント,エレガント,えれがんと,
20298,物静か,物静か,ものしずか,
20298,フォーマル,フォーマル,ふぉーまる,
20298,ユーモラス,ユーモラス,ゆーもらす,
20527,ショッキング,ショッキング,しょっきんぐ,
20527,憮然,ぶ然,ぶぜん,
20527,鷹揚,鷹揚,おうよう,
20527,エロチック,エロチック,えろちっく,
20744,惨憺,惨憺,さんたん,
20744,あやふや,あやふや,あやふや,
20744,グロテスク,グロテスク,ぐろてすく,
20744,気丈,気丈,きじょう,
20979,十二分,十二分,じゅうにぶん,
20979,朗らか,ほがらか,ほがらか,
21214,流暢,流暢,りゅうちょう,
21214,厳然,厳然,げんぜん,
21214,不揃い,ふぞろい,ふぞろい,
21214,オフィシャル,オフィシャル,おふぃしゃる,
21439,歪,いびつ,いびつ,
21439,悶々,もんもん,もんもん,
21439,風変わり,風変わり,ふうがわり,
21439,耳障り,耳ざわり,みみざわり,
21439,柔,柔,やわ,
21439,出し抜け,出し抜け,だしぬけ,
21660,しどろもどろ,しどろもどろ,しどろもどろ,
21660,大儀,大儀,たいぎ,
21880,以ての外,もってのほか,もってのほか,
21880,大っぴら,おおっぴら,おおっぴら,
21880,ずたずた,ずたずた,ずたずた,
21880,頑強,頑強,がんきょう,
21880,精悍,精悍,せいかん,
21880,膨よか,ふくよか,ふくよか,
21880,煌びやか,きらびやか,きらびやか,
21880,姑息,姑息,こそく,
21880,微小,微小,びしょう,
22135,悠長,悠長,ゆうちょう,
22135,絢爛,けんらん,けんらん,
22407,無骨,無骨,ぶこつ,
22407,ジャスト,ジャスト,じゃすと,
22657,連綿,連綿,れんめん,
22657,力任せ,力まかせ,ちからまかせ,
22936,大違い,大違い,おおちがい,
22936,打って付け,打って付け,うってつけ,
22936,劣悪,劣悪,れつあく,
22936,きざ,きざ,きざ,
23216,異色,異色,いしょく,
23216,切々,切々,せつせつ,
23216,陰鬱,陰鬱,いんうつ,
23216,獰猛,獰猛,ねいもう,
23216,ヘルシー,ヘルシー,へるしー,
23216,少なめ,少なめ,すくなめ,
23482,暗澹,暗澹,あんたん,
23482,テクニカル,テクニカル,てくにかる,
23772,へとへと,へとへと,へとへと,
23772,ベター,ベター,べたー,
23772,傍若,傍若,ぼうじゃく,
23772,アクティブ,アクティブ,あくてぃぶ,
23772,穏便,穏便,おんびん,
23772,ドラマチック,ドラマチック,どらまちっく,
23772,かさかさ,かさかさ,かさかさ,
23772,とぎれとぎれ,とぎれとぎれ,とぎれとぎれ,
24074,釈然,釈然,しゃくぜん,
24387,ナイーブ,ナイーブ,ないーぶ,
24387,漫然,漫然,まんぜん,
24387,アカデミック,アカデミック,あかでみっく,
24387,不屈,不屈,ふくつ,
24387,珍妙,珍妙,ちんみょう,
24387,嬉々,嬉々,きき,
24387,手短,手短,てみじか,
24387,センセーショナル,センセーショナル,せんせーしょなる,
24387,リズミカル,リズミカル,りずみかる,
24387,憤然,憤然,ふんぜん,
24717,月並み,月並み,つきなみ,
24717,よれよれ,ヨレヨレ,よれよれ,
24717,遅々,遅々,ちち,
24717,伸びやか,伸びやか,のびやか,
24717,密やか,ひそやか,ひそやか,
24717,ウエット,ウエット,うえっと,
24717,豪勢,豪勢,ごうせい,
24717,これみよがし,これみよがし,これみよがし,
24717,割安,割安,わりやす,
24717,薄手,薄手,うすで,
25068,等閑,等閑,なおざり,
25068,有耶無耶,うやむや,うやむや,
25068,不用,不用,ふよう,
25068,フレッシュ,フレッシュ,ふれっしゅ,
25068,ワンマン,ワンマン,わんまん,
25068,隠密,隠密,おんみつ,
25068,厳正,厳正,げんせい,
25068,マイルド,マイルド,まいるど,
25068,木目細か,キメ細か,きめこまか,
25429,ベーシック,ベーシック,べーしっく,
25429,粗悪,粗悪,そあく,
25429,パワフル,パワフル,ぱわふる,
25429,ちぐはぐ,ちぐはぐ,ちぐはぐ,
25429,懇ろ,懇,ねんごろ,
25429,スピーディー,スピーディー,すぴーでぃー,
25429,緩々,ゆるゆる,ゆるゆる,
25429,ブライト,ブライト,ぶらいと,
25789,薄っぺら,薄っぺら,うすっぺら,
25789,肉厚,肉厚,にくあつ,
25789,ストロング,ストロング,すとろんぐ,
26152,粗雑,粗雑,そざつ,
26152,エキゾチック,エキゾチック,えきぞちっく,
26152,婉曲,婉曲,えんきょく,
26152,純然,純然,じゅんぜん,
26152,ゴージャス,ゴージャス,ごーじゃす,
26152,サイバー,サイバー,さいばー,
26152,微々,微々,びび,
26152,存外,存外,ぞんがい,
26152,切れ切れ,切れ切れ,きれぎれ,
26152,楽ちん,ラクチン,らくちん,
26548,明朗,明朗,めいろう,
26548,浅はか,浅はか,あさはか,
26548,事細か,こと細か,ことこまか,
26548,ぞんざい,ぞんざい,ぞんざい,
26548,数奇,数奇,すうき,
26939,爛漫,らんまん,らんまん,
26939,心外,心外,しんがい,
26939,陰険,陰険,いんけん,
26939,殊勝,殊勝,しゅしょう,
26939,晴れやか,晴れやか,はれやか,
27350,手薄,手薄,てうす,
27350,桁違い,桁違い,けたちがい,
27350,燦々,＊,さんさん,
27350,物好き,物好き,ものずき,
27350,ちんぷんかんぷん,チンプンカンプン,ちんぷんかんぷん,
27350,壮観,壮観,そうかん,
27350,剽軽,ひょうきん,ひょうきん,
27350,鮮烈,鮮烈,せんれつ,
27350,縦長,縦長,たてなが,
27350,無体,無体,むたい,
27798,脈々,脈々,みゃくみゃく,
27798,揚々,揚々,ようよう,
27798,骨太,骨太,ほねぶと,
27798,安直,安直,あんちょく,
27798,闊達,,,
27798,錚々,＊,そうそう,
27798,正大,正大,せいだい,
27798,神的,神的,しんてき,
27798,薄め,薄め,うすめ,
28238,変梃,ヘンテコ,へんてこ,
28688,桁外れ,けた外れ,けたはずれ,
28688,詳らか,審,つまびらか,
28688,瀟洒,＊,しょうしゃ,
28688,絶え絶え,絶え絶え,たえだえ,
28688,渾然,＊,こんぜん,
28688,滔々,とうとう,とうとう,
28688,エコノミック,エコノミック,えこのみっく,
28688,過分,過分,かぶん,
29169,欲張り,欲張り,よくばり,
29169,フェア,フェア,ふぇあ,
29169,ジグザグ,ジグザグ,じぐざぐ,
29169,下劣,下劣,げれつ,
29169,苛烈,＊,かれつ,
29169,横長,横長,よこなが,
29169,勇壮,勇壮,ゆうそう,
29169,瓜二つ,,,
29169,スマイリー,スマイリー,,
29659,淑やか,しとやか,しとやか,
29659,エネルギッシュ,エネルギッシュ,えねるぎっしゅ,
29659,ざっくばらん,ざっくばらん,ざっくばらん,
29659,狂暴,狂暴,きょうぼう,
29659,こちこち,,,
29659,たわわ,たわわ,たわわ,
29659,ぼこぼこ,ボコボコ,ぼこぼこ,
29659,のっぽ,ノッポ,のっぽ,
29659,杳,よう,よう,
30141,順当,順当,じゅんとう,
30141,営々,営々,えいえい,
30141,超然,超然,ちょうぜん,
30141,非凡,非凡,ひぼん,
30141,ひ弱,ひよわ,ひよわ,
30141,そげえ,,,
30141,伊達,建て,だて,
30722,上々,上々,じょうじょう,
30722,分明,分明,ぶんめい,
30722,リーズナブル,リーズナブル,りーずなぶる,
30722,燦然,燦然,さんぜん,
30722,短め,短め,みじかめ,
30722,センチメンタル,センチメンタル,せんちめんたる,
30722,大童,おおわらわ,おおわらわ,
30722,緩,緩,かん,
30722,涼やか,涼やか,すずやか,
30722,厚め,集め,あつめ,
30722,頓狂,とんきょう,とんきょう,
30722,麗ら,麗,うらら,
31286,実しやか,まことしやか,まことしやか,
31286,直截,直截,ちょくせつ,
31286,チャーミング,チャーミング,ちゃーみんぐ,
31286,手狭,手狭,てぜま,
31286,キュート,キュート,きゅーと,
31286,マニアック,マニアック,まにあっく,
31286,シンボリック,シンボリック,しんぼりっく,
31286,犬好き,,,
31286,沈痛,沈痛,ちんつう,
31891,静的,静的,せいてき,
31891,三様,三様,さんよう,
31891,苦し紛れ,苦しまぎれ,くるしまぎれ,
31891,史的,史的,してき,
31891,朗々,朗々,ろうろう,
31891,仰山,＊,ぎょうさん,
32501,そんなこんな,そんなこんな,そんなこんな,
32501,フレキシブル,フレキシブル,ふれきしぶる,
32501,悄然,＊,しょうぜん,
32501,鬱々,うつうつ,うつうつ,
33119,赤裸々,赤裸々,せきらら,
33119,クレージー,クレージー,くれーじー,
33119,累々,累々,るいるい,
33119,覿面,てきめん,てきめん,
33119,慄然,慄然,りつぜん,
33119,ぺちゃんこ,ペチャンコ,ぺちゃんこ,
33119,豪壮,豪壮,ごうそう,
33119,へなへな,へなへな,へなへな,
33119,森閑,森閑,しんかん,
33119,スポーティー,スポーティー,,
33119,固目,固め,かため,
33770,粛々,粛々,しゅくしゅく,
33770,がちがち,がちがち,がちがち,
33770,得々,とくとく,とくとく,
33770,シリアス,シリアス,しりあす,
33770,幅広,,,
33770,エキセントリック,エキセントリック,えきせんとりっく,
33770,清新,清新,せいしん,
33770,プリティー,プリティー,ぷりてぃー,
34516,廉価,廉価,れんか,
34516,シニカル,シニカル,しにかる,
34516,綿々,綿々,めんめん,
34516,びしょびしょ,びしょびしょ,びしょびしょ,
34516,ぐしゃぐしゃ,,,
34516,フィジカル,フィジカル,ふぃじかる,
34516,血みどろ,血みどろ,ちみどろ,
34516,豪気,豪気,ごうぎ,
34516,沸々,ふつふつ,ふつふつ,
35236,あべこべ,あべこべ,あべこべ,
35236,慎ましやか,つつましやか,つつましやか,
35236,ごっちゃ,ごっちゃ,ごっちゃ,
35236,野放図,野放図,のほうず,
35236,深長,深長,しんちょう,
35236,昂然,昂然,こうぜん,
35236,ドメスティック,ドメスティック,どめすてぃっく,
35236,色黒,色黒,いろぐろ,
35236,傲岸,傲岸,ごうがん,
35236,流麗,流麗,りゅうれい,
35236,てかてか,テカテカ,てかてか,
35236,冗長,冗長,じょうちょう,
35236,もじゃもじゃ,もじゃもじゃ,もじゃもじゃ,
35236,温め,ぬるめ,ぬるめ,
36042,煌々,＊,こうこう,
36042,多難,多難,たなん,
36042,躍如,躍如,やくじょ,
36042,たおやか,たおやか,たおやか,
36042,隆々,隆々,りゅうりゅう,
36042,ドラスティック,ドラスティック,どらすてぃっく,
36042,マッド,マッド,,
36829,真っさら,,,
36829,麗らか,,,
36829,望外,望外,ぼうがい,
36829,広め,弘,ひろめ,
36829,手荒,手荒,てあら,
36829,大真面目,大真面目,おおまじめ,
36829,細密,細密,さいみつ,
36829,ちゃち,チャチ,ちゃち,
36829,陶然,陶然,とうぜん,
36829,安め,休め,やすめ,
37694,汲々,汲々,きゅうきゅう,
37694,ミステリアス,ミステリアス,,
37694,泰然,泰然,たいぜん,
37694,老練,老練,ろうれん,
37694,軒昂,軒昂,けんこう,
37694,場当たり,場当たり,ばあたり,
37694,ぶよぶよ,ぶよぶよ,ぶよぶよ,
37694,忸怩,忸怩,じくじ,
37694,もてもて,モテモテ,もてもて,
37694,女好き,女好き,おんなずき,
37694,システマチック,システマチック,しすてまちっく,
37694,著明,著明,ちょめい,
37694,清か,清,さやか,
37694,ジューシー,ジューシー,,
37694,茫,＊,ぼう,
38630,円ら,つぶら,つぶら,
38630,ごちゃ混ぜ,ごちゃまぜ,ごちゃまぜ,
38630,破天荒,破天荒,はてんこう,
38630,型破り,型破り,かたやぶり,
38630,きつめ,きつめ,きつめ,
38630,ファッショナブル,ファッショナブル,ふぁっしょなぶる,
38630,悪辣,悪辣,あくらつ,
38630,突っ慳貪,つっけんどん,つっけんどん,
38630,誂え向き,あつらえ向き,あつらえむき,
38630,濃いめ,濃いめ,こいめ,
38630,傲然,傲然,ごうぜん,
