No.,Expression,Reading,Meaning
183,軽い,かるい,"light, non-serious, minor"
184,カレー,カレー,curry (abbr. for curry and rice)
185,カレンダー,カレンダー,calendar
186,川; 河,かわ,river
187,～側,～がわ,~ side
188,可愛い,かわいい,"cute, adorable"
189,漢字,かんじ,kanji; Chinese character
190,木,き,"tree, wood, timber"
191,黄色,きいろ,yellow
192,黄色い,きいろい,yellow
193,消える,きえる,"to vanish, to disappear"
194,聞く,きく,"to hear, to listen, to ask"
195,北,きた,north
196,ギター,ギター,guitar
197,汚い,きたない,"dirty, unclean, filthy"
198,喫茶店,きっさてん,café
199,切手,きって,postal (postage) stamps
200,切符,きっぷ,a ticket
201,昨日,きのう,yesterday
202,九,きゅう,nine
203,牛肉,ぎゅうにく,beef
204,牛乳,ぎゅうにゅう,milk
205,今日,きょう,"today, this day"
206,教室,きょうしつ,classroom
207,兄弟,きょうだい,"siblings (humble), brothers and sisters"
208,去年,きょねん,last year
209,嫌い,きらい,dislike
210,切る,きる,to cut; to hang up (a phone)
211,着る,きる,to put on (clothes above your waist); to wear
212,綺麗,きれい,"pretty, clean, tidy"
213,キロ; キログラム,キロ; キログラム,(abbr.) kilo (kilogram)
214,キロ; キロメートル,キロ; キロメートル,(abbr.) kilo (kilometer)
215,銀行,ぎんこう,bank
216,金曜日,きんようび,Friday
217,九,く,nine
218,薬,くすり,medicine
219,下さい,ください,(with te-form verb) please do for me
220,果物,くだもの,fruit
221,口,くち,job opening; mouth
222,靴,くつ,"shoes, footwear"
223,靴下,くつした,socks
224,国,くに,country; place of origin
225,曇り,くもり,"cloudiness, cloudy weather"
226,曇る,くもる,"to become cloudy, to become dim"
227,暗い,くらい,"dark, gloomy"
228,～くらい; ぐらい,～くらい; ぐらい,approximate (quantity)
229,クラス,クラス,a class
230,グラム,グラム,gram
231,来る,くる,to come
232,車,くるま,"car, vehicle"
233,黒,くろ,black
234,黒い,くろい,black; dark
235,警官,けいかん,police officer
236,今朝,けさ,this morning
237,消す,けす,"to erase, to delete, to turn off power"
238,結構,けっこう,"splendid; enough, tolerably"
239,結婚,けっこん (する),marriage (get married)
240,月曜日,げつようび,Monday
241,玄関,げんかん,entrance (to a house or a building)
242,元気,げんき,"health(y), energetic"
243,～個,～こ,"counter for small items (e.g., fruits, cups)"
244,五,ご,five
245,～語,～ご,"word, language"
246,公園,こうえん,a park
247,交差点,こうさてん,intersection
248,紅茶,こうちゃ,black tea
249,交番,こうばん,police box
250,声,こえ,voice
251,コート,コート,"coat; court (e.g., tennis)"
252,コーヒー,コーヒー,coffee
253,ここ,ここ,"here, this place"
254,午後,ごご,"afternoon, P.M."
255,九日,ここのか,nine days; ninth day of the month
256,九つ,ここのつ,nine things
257,午前,ごぜん,"morning, A.M."
258,答える,こたえる,"to answer, to reply"
259,こちら,こちら,this person (polite); this way (polite)
260,こっち,こっち,this person; this direction; this side
261,コップ,コップ,a tumbler; a glass
262,今年,ことし,this year
263,言葉,ことば,language; word(s); expression(s)
264,子供,こども,child(ren)
265,この,この,this
266,御飯,ごはん,rice (cooked); meal
267,コピーする,コピーする,to copy
268,困る,こまる,"to be bothered, to have difficulty"
269,これ,これ,this one
270,～ころ; ～ごろ,～ころ; ～ごろ,"about, toward, approximately (time)"
271,今月,こんげつ,this month
272,今週,こんしゅう,this week
273,こんな,こんな,"such, like this"
274,今晩,こんばん,"tonight, this evening"
275,さあ,さあ,"come now, well"
276,～歳,～さい,~ years old
277,財布,さいふ,wallet
278,魚,さかな,fish
279,先,さき,"future; recent, previous"
280,咲く,さく,to bloom
281,作文,さくぶん,essay; composition
282,差す,さす,"to raise (stretch out) hands, to raise (e.g., umbrella)"
283,～冊,～さつ,counter for books
284,雑誌,ざっし,"magazine, journal"
285,砂糖,さとう,sugar
286,寒い,さむい,cold (in reference to weather)
287,さ来年,さらいねん,year after next
288,～さん,～さん,"Mr. ~, Ms. ~"
289,三,さん,three
290,散歩,さんぽ (する),"walk, stroll"
291,四,し,four
292,～時,～じ,~ o'clock (time)
293,塩,しお,salt
294,しかし,しかし,however; but
295,時間,じかん,time
296,～時間,～じかん,~ hours
297,仕事,しごと,"work, job, occupation, employment"
298,辞書,じしょ,dictionary
299,静か,しずか,"quiet, calm"
300,下,した,"under, below, beneath"
301,七,しち,seven
302,質問,しつもん,"question, inquiry"
303,自転車,じてんしゃ,bicycle
304,自動車,じどうしゃ,automobile
305,死ぬ,しぬ,to die
306,字引,じびき,dictionary
307,自分,じぶん,"myself, oneself"
308,閉まる,しまる,"to close, to be closed"
309,閉める,しめる,"to close, to shut"
310,締める,しめる,"to tie, to fasten, to tighten"
311,じゃ; じゃあ,じゃ; じゃあ,"well, well then"
312,写真,しゃしん,a picture; a photograph
313,シャツ,シャツ,shirt
314,シャワー,シャワー,shower
315,十,じゅう,ten
316,～中,～じゅう,"during, while"
317,～週間,～しゅうかん,~ weeks
318,授業,じゅぎょう,a class (of school)
319,宿題,しゅくだい,homework
320,上手,じょうず,"be good at, skillful"
321,丈夫,じょうぶ,"strong, solid, durable"
322,醤油,しょうゆ,soy sauce
323,食堂,しょくどう,"cafeteria, dining hall"
324,知る,しる,"to know, to understand"
325,白,しろ,white
326,白い,しろい,white
327,～人,～じん,counter for people
328,新聞,しんぶん,newspaper
329,水曜日,すいようび,Wednesday
330,吸う,すう,"to breathe in, to suck"
331,スカート,スカート,skirt
332,好き,すき,"liking, fondness, love"
333,～すぎ,～すぎ,"past; to exceed, ~ too much"
334,少ない,すくない,a little; a few
335,すぐに,すぐに,"immediately, soon"
336,少し,すこし,"little, few"
337,涼しい,すずしい,"cool, refreshing (in reference to weather)"
338,～ずつ,～ずつ,at a time
339,ストーブ,ストーブ,heater (lit: stove)
340,スプーン,スプーン,spoon
341,スポーツ,スポーツ,sport(s)
342,ズボン,ズボン,trousers
343,住む,すむ,"to reside, to live in"
344,する,する,"to do, to try; to wear small items (e.g., necktie, watch, etc.)"
345,座る,すわる,to sit
346,背,せい,"(one's) height, stature"
347,生徒,せいと,student; pupil
348,セーター,セーター,sweater
349,石鹸,せっけん,soap
350,背広,せびろ,men's suit
351,狭い,せまい,narrow; not spacious
352,ゼロ,ゼロ,zero
353,千,せん,thousand
354,先月,せんげつ,last month
355,先週,せんしゅう,last week
356,先生,せんせい,"teacher, professor; master; doctor"
357,洗濯,せんたく,"washing, laundry"
358,全部,ぜんぶ,"all, entire, whole"
359,そう; そうです,そう; そうです,"yes; appears, to be the case"
360,掃除,そうじ (する),"cleaning, sweeping"
361,そうして; そして,そうして; そして,"and, like that"
362,そこ,そこ,"that place, there; bottom, sole"
363,そちら,そちら,over there
364,そっち,そっち,over there
365,外,そと,"outside, exterior"
366,その,その,that
367,そば,そば,"near, close, beside; Japanese traditional buckwheat noodle"
368,空,そら,sky
369,それ,それ,that one
370,それから,それから,"and then, after that"
371,それでは,それでは,"in that situation, well then..."
372,～台,～だい,counter for vehicles; machines
373,大学,だいがく,college; university
374,大使館,たいしかん,embassy
375,大丈夫,だいじょうぶ,It's ok (all right); No need to worry; Everything is under control
376,大好き,だいすき,"very like-able, like very much"
377,大切,たいせつ,important
378,台所,だいどころ,kitchen
379,大変,たいへん,"very; difficult, hard"
380,高い,たかい,"tall, high; expensive"
381,～だけ,～だけ,"only ~, just ~, as ~"
382,沢山,たくさん,"many, much"
383,タクシー,タクシー,taxi
384,出す,だす,to take (something) out; to hand in (something)
385,～たち,～たち,plural suffix
386,立つ,たつ,to stand up
387,たて,たて,"length, height"
388,建物,たてもの,building
389,楽しい,たのしい,"enjoyable, fun"
390,頼む,たのむ,"to request, to ask (a favor)"
391,たばこ,たばこ,"tobacco, cigarettes"
392,多分,たぶん,"perhaps, probably, maybe"
393,食べ物,たべもの,food
394,食べる,たべる,to eat
395,卵,たまご,egg
396,誰,だれ,who
397,誰か,だれか,someone
398,誕生日,たんじょうび,birthday
399,段々,だんだん,"gradually, by degrees"
400,小さい,ちいさい,"small, little"
401,小さな,ちいさな,"small, little"
402,近い,ちかい,"near, close by, short"
403,違う,ちがう,to be different; to differ; wrong
404,近く,ちかく,nearby; in the neighborhood
405,地下鉄,ちかてつ,"underground train, subway"
406,地図,ちず,a map
407,父,ちち,(my) father
408,茶色,ちゃいろ,brown
409,茶碗,ちゃわん,rice bowl
410,～中,～ちゅう,"during, while ~ing"
411,丁度,ちょうど,"just, right, exactly"
412,ちょっと,ちょっと,"a little, somewhat; just a little, somewhat"
413,一日,ついたち,one day; first day of the month
414,使う,つかう,to use
415,疲れる,つかれる,to get (become) tired; to become fatigued
416,次,つぎ,next
417,着く,つく,"to arrive at, to reach"
418,机,つくえ,desk
419,作る,つくる,"to make, to create"
420,つける,つける,"to turn on (e.g., a light); to take"
421,勤める,つとめる,to work (for)
422,つまらない,つまらない,"boring, dull; insignificant"
423,冷たい,つめたい,"cold (things, people)"
424,強い,つよい,"strong, powerful"
425,手,て,hand
426,テープ,テープ,tape
427,テープレコーダー,テープレコーダー,tape recorder
428,テーブル,テーブル,table
429,出かける,でかける,to go out; to depart
430,手紙,てがみ,letter
431,できる,できる,to be able to (to accomplish)
432,出口,でぐち,an exit
433,テスト,テスト,test
434,では,では,"then, well, so"
435,デパート,デパート,(abbr.) department store
436,でも,でも,"but, however"
437,出る,でる,"to appear, to leave"
438,テレビ,テレビ,"television, TV"
439,天気,てんき,weather
440,電気,でんき,"electricity, (electric) light"
441,電車,でんしゃ,electric train
442,電話,でんわ,a telephone
443,戸,と,door (Japanese style)
444,～度,～ど,counter for occurrences; ~ degree; ~ point
445,ドア,ドア,door (Western style)
446,トイレ,トイレ,bathroom; toilet
447,どう,どう,"how, in what way"
448,どうして,どうして,"why, for what reason"
449,どうぞ,どうぞ,"please, kindly, by all means"
450,動物,どうぶつ,animal
451,どうも,どうも,Thank you; somehow; no matter how hard one may try
452,十,(〜を) とお,ten (~)
453,遠い,とおい,"far (away), distant"
454,十日,とおか,ten days; tenth day of the month
455,～時,～とき,at the time of ~
456,時々,ときどき,sometimes
457,時計,とけい,a watch; a clock
458,どこ,どこ,"where, what place"
459,所,ところ,place
460,年,とし,"year, age"
461,図書館,としょかん,library
462,どちら,どちら,which (one) (way); where (polite)
463,どっち,どっち,"which one, which way"
464,とても,とても,"very (much), greatly, exceedingly"
465,どなた,どなた,who
466,隣,となり,"next to, next door to"
467,どの,どの,which
468,飛ぶ,とぶ,"to fly, to hop"
469,止まる,とまる,to come to a halt
470,友達,ともだち,friend
471,土曜日,どようび,Saturday
472,鳥,とり,"chicken (lit., bird)"
473,鶏肉,とりにく,chicken meat
474,取る,とる,to take (a class); to get (a grade)
475,撮る,とる,"to take (a photo), to make (a film)"
476,どれ,どれ,which one
477,どんな,どんな,"what, what kind of"
478,ない,ない,"there isn't, doesn't have"
479,ナイフ,ナイフ,knife
480,中,なか,"inside, middle, among"
481,長い,ながい,"long, lengthy"
482,鳴く,なく,to make sound (animal)
483,無くす,なくす,to lose something
484,なぜ,なぜ,why (same as どうして)
485,夏,なつ,summer
486,夏休み,なつやすみ,summer vacation
487,～など,～など,et cetera
488,七つ,ななつ,seven things
489,何,なん; なに,what
490,七日,なのか,seven days; seventh day (of the month)
491,名前,なまえ,name
492,習う,ならう,to learn
493,並ぶ,ならぶ,"to line up, to stand in a line (v.i.)"
494,並べる,ならべる,to put (things) side by side; to line up
495,なる,なる,to become
496,何～,なん～,what sort of ~
497,二,に,two
498,にぎやか,にぎやか,"bustling, busy"
499,肉,にく,meat
500,西,にし,west
501,～日,～にち,"~ day of the month, for ~ days"
502,日曜日,にちようび,Sunday
503,荷物,にもつ,luggage; baggage
504,ニュース,ニュース,news
505,庭,にわ,garden
506,～人,～にん,counter for people
507,脱ぐ,ぬぐ,to take off (clothes)
508,温い,ぬるい,lukewarm
509,ネクタイ,ネクタイ,"tie, necktie"
510,猫,ねこ,cat
511,寝る,ねる,to sleep; to go to sleep; to go to bed
512,～年,～ねん,~ years
513,ノート,ノート,notebook
514,登る,のぼる,to climb
515,飲み物,のみもの,"drink, beverage"
516,飲む,のむ,to drink
517,乗る,のる,"to get on, to ride in, to board"
518,歯,は,tooth
519,パーティー,パーティー,a party
520,はい,はい,yes
521,～杯,～はい,counter for cupfuls
522,灰皿,はいざら,ashtray
523,入る,はいる,"to enter, to contain, to hold"
524,葉書,はがき,postcard
525,はく,はく,to put on (items below your waist)
526,箱,はこ,box
527,橋,はし,bridge
528,箸,はし,chopsticks
529,始まる,はじまる,(something) begins
530,初め; 始め,はじめ,"beginning, start"
531,初めて,はじめて,for the first time
532,走る,はしる,to run
533,バス,バス,bus; bath; bass
534,バター,バター,butter
535,二十歳,はたち,20 years old
536,働く,はたらく,to work
537,八,はち,eight
538,二十日,はつか,"twenty days, twentieth (day of the month)"
539,花,はな,flower
540,鼻,はな,nose
541,話,はなし,"talk (chat), story"
542,話す,はなす,to speak
543,母,はは,(my) mother
544,早い,はやい,early
545,速い,はやい,"fast, quick"
546,春,はる,spring
547,貼る,はる,to post; to paste; to attach
548,晴れ,はれ,clear (sunny) weather
549,晴れる,はれる,to be sunny
550,半,はん,"half (e.g., にじはん | half-past two)"
551,晩,ばん,evening
552,～番,～ばん,~st; ~th best
553,パン,パン,bread
554,ハンカチ,ハンカチ,handkerchief
555,番号,ばんごう,"number, series of digits"
556,晩御飯,ばんごはん,"dinner, evening meal"
557,半分,はんぶん,half
558,東,ひがし,east
559,～匹,～ひき,counter for small animals
560,引く,ひく,"to pull, to draw; subtract"
561,弾く,ひく,to play (a string instrument or piano)
562,低い,ひくい,"short, low"
563,飛行機,ひこうき,airplane
564,左,ひだり,left hand side
565,人,ひと,"man, person"
566,一つ,ひとつ,one thing
567,一月,ひとつき,one month
568,一人,ひとり,one person
569,暇,ひま,"free time, leisure"
570,百,ひゃく,hundred
571,病院,びょういん,hospital
572,病気,びょうき,illness; sickness
573,平仮名,ひらがな,hiragana
574,昼,ひる,"noon, daytime"
575,昼御飯,ひるごはん,"lunch, midday meal"
576,広い,ひろい,spacious; wide; broad
577,フィルム,フィルム,film (roll of)
578,封筒,ふうとう,envelope
579,プール,プール,swimming pool
580,フォーク,フォーク,fork
581,吹く,ふく,"to blow (wind, etc.)"
582,服,ふく,clothes
583,二つ,ふたつ,two things
584,豚肉,ぶたにく,pork
585,二人,ふたり,two people
586,二日,ふつか,two days; second day of the month
587,太い,ふとい,"fat, thick"
588,冬,ふゆ,winter
589,降る,ふる,"to precipitate, to fall (e.g., rain, snow, etc.)"
590,古い,ふるい,"old (in reference to objects, not people), aged, ancient"
591,～分,～ふん,~ minutes
592,文章,ぶんしょう,"sentence, text"
593,ページ,ページ,a page
594,下手,へた,"unskillful, poor"
595,ベッド,ベッド,bed
596,ペット,ペット,pet
597,部屋,へや,a room
598,辺,へん,"area, vicinity"
599,ペン,ペン,pen
600,勉強,べんきょう (する),study
601,便利,べんり,"convenient, handy"
602,帽子,ぼうし,hat; cap
603,ボールペン,ボールペン,ball-point pen
604,外,ほか,"other, the rest"
605,ポケット,ポケット,pocket
606,欲しい,ほしい,"to want, in need of"
607,ポスト,ポスト,"mailbox; post, position"
608,細い,ほそい,"thin, slender, fine"
609,ボタン,ボタン,button
610,ホテル,ホテル,hotel
611,本,ほん,book
612,～本,～ほん,counter for long cylindrical things
613,本棚,ほんだな,bookshelf
614,本当,ほんとう,"real, true"
615,～枚,～まい,counter for flat things
616,毎朝,まいあさ,every morning
617,毎月,まいげつ; まいつき,"every month, monthly"
618,毎週,まいしゅう,every week
619,毎日,まいにち,every day
620,毎年,まいねん; まいとし,"every year, yearly, annually"
621,毎晩,まいばん,every night
622,前,まえ,"before, in front"
623,～前,～まえ,in front of ~
624,曲る,まがる,"to turn, to bend"
625,まずい,まずい,"terrible (in reference to food), unappetizing, unpleasant (taste)"
626,また,また,and; furthermore
627,まだ,まだ,"yet, still, besides"
628,町,まち,town; city
629,待つ,まつ,to wait
630,まっすぐ,まっすぐ,"straight (ahead), direct"
631,マッチ,マッチ,match
632,窓,まど,window
633,丸い; 円い,まるい,"round, circular"
634,万,まん,ten thousand
635,万年筆,まんねんひつ,fountain pen
636,磨く,みがく,to brush (teeth); to polish
637,右,みぎ,right hand side
638,短い,みじかい,short (length)
639,水,みず,water
640,店,みせ,"store, shop"
641,見せる,みせる,"to show, to display"
642,道,みち,"road, street; way, directions"
643,三日,みっか,"three days, third day of the month"
644,三つ,みっつ,three things
645,緑,みどり,green
646,皆さん,みなさん,"all of you, everyone"
647,南,みなみ,South
648,耳,みみ,ear
649,見る,みる,"to see, to look"
650,みんな,みんな,"all, everyone, everybody"
651,六日,むいか,six days; sixth day of month
652,向こう,むこう,"beyond, over there"
653,難しい,むずかしい,difficult
654,六つ,むっつ,six things
655,村,むら,village
656,目,め,eye(s)
657,メートル,メートル,meter
658,眼鏡,めがね,eye glasses
659,もう,もう,already; again; more
660,木曜日,もくようび,Thursday
661,もしもし,もしもし,Hello? (used on the phone)
662,持つ,もつ,"to hold, to carry; to possess"
663,もっと,もっと,more
664,物,もの,thing (concrete object)
665,門,もん,gate
666,問題,もんだい,a problem
667,～屋,～や,~ shop
668,八百屋,やおや,greengrocer
669,野菜,やさい,vegetable
670,易しい,やさしい,"easy, plain, simple"
671,安い,やすい,inexpensive; cheap (things)
672,休み,やすみ,holiday; day off; absence
673,休む,やすむ,"to rest, to have a break, to get time off"
674,八つ,やっつ,eight things
675,山,やま,mountain
676,やる,やる,"to do; to give (to pets, parents, siblings, etc.)"
677,夕方,ゆうがた,"late afternoon (typically just before dinner time), evening"
678,夕飯,ゆうはん,"dinner, supper, evening meal"
679,郵便局,ゆうびんきょく,post office
680,昨夜,ゆうべ,last night
681,有名,ゆうめい,famous
682,雪,ゆき,snow
683,ゆっくりと,ゆっくりと,"slowly, at ease"
684,八日,ようか,eight days; eighth day of the month
685,洋服,ようふく,Western-style clothes
686,よく,よく,"frequently, often (much); well, skillfully"
687,横,よこ,beside; side; width
688,四日,よっか,four days; fourth day of the month
689,四つ,よっつ,four things
690,呼ぶ,よぶ,to call (one's name); to invite
691,読む,よむ,to read
692,夜,よる,"evening, night"
693,弱い,よわい,weak
694,来月,らいげつ,next month
695,来週,らいしゅう,next week
696,来年,らいねん,next year
697,ラジオ,ラジオ,radio
698,ラジオカセ,ラジオカセ,radio cassette player
699,りっぱ,りっぱ,"splendid, fine"
700,留学生,りゅうがくせい,international student
701,両親,りょうしん,"parents (lit., both parents)"
702,料理,りょうり,cooking; cuisine
703,旅行,りょこう,"travel, trip"
704,零,れい,"zero, nought"
705,冷蔵庫,れいぞうこ,refrigerator
706,レコード,レコード,record
707,レストラン,レストラン,restaurant
708,練習,れんしゅう (する),(to) practice
709,廊下,ろうか,corridor
710,六,ろく,six
711,ワイシャツ,ワイシャツ,"shirt (lit: white shirt), business shirt"
712,若い,わかい,young
713,分かる,わかる,to understand
714,忘れる,わすれる,to forget
715,私,わたし,"I, myself"
716,私,わたくし,"I (formal), myself, private affairs"
717,渡す,わたす,to hand (something) over (v.t.); to get across
718,渡る,わたる,"to cross over, to go across"
719,悪い,わるい,"bad, sinful; inferior"
720,踏む,ふむ,"to step on, to tread on"
721,～区,～く,"~ district, ~ ward, ~ borough"
722,すっと,すっと,"straight, quickly"
723,盗む,ぬすむ,to steal; to rob
724,大抵,たいてい,"generally, usually"
725,とうとう,とうとう,"finally, at last"
726,ガソリン,ガソリン,"gasoline, petrol"
727,鳴る,なる,"to sound, to ring (v.i.)"
728,しっかり,しっかり,"firmly, steady"
729,生きる,いきる,to live
730,苦い,にがい,bitter
731,沸く,わく,"to boil, to grow hot"
732,意見,いけん,"opinion, view, idea"
733,やはり; やっぱり,やはり; やっぱり,"as I thought, absolutely"
734,漫画,まんが,"comic (book), cartoon"
735,ステレオ,ステレオ,stereo
736,医学,いがく,medical science
737,テキスト,テキスト,text; text book
738,～月,～つき,month
739,折る,おる,"to snap, to break; to bend"
740,～会,～かい,~ meeting
741,うかがう,うかがう,to ask
742,聞こえる,きこえる,"to be heard, to be audible"
743,僕,ぼく,I (used by men towards those of equal or lower status)
744,必ず,かならず,"surely, certainly"
745,壊す,こわす,"to break, to break down"
746,怒る,おこる,to get angry; to scold angrily
747,床屋,とこや,barber's (shop)
748,オートバイ,オートバイ,motorcycle (lit: auto-bi(ke))
749,運動,うんどうする,exercise
750,止む,やむ,"to cease, to stop"
751,もし,もし,if
752,表,おもて,surface; front; outside
753,大学生,だいがくせい,"college student, university student"
754,運転手,うんてんしゅ,driver (by occupation)
755,予習,よしゅう,preparation of lessons (for class)
756,心配,しんぱいする,"worry, concern"
757,別,べつ,"distinction, different"
758,非常に,ひじょうに,extremely; very
759,お宅,おたく,(someone else's) house; home -- polite word for 家 (いえ) --
760,柔らかい,やわらかい,"soft (in reference to texture), tender"
761,拾う,ひろう,"to pick up (something), to find"
762,～ございます,～ございます,"to be (polite), to exist"
763,気,き,"spirit, mood"
764,比べる,くらべる,to compare
765,ほとんど,ほとんど,"mostly, almost"
766,つもり,つもり,"intention, plan"
767,郊外,こうがい,"suburb, outskirts"
768,だめ,だめ,"useless, no good, hopeless"
769,売り場,うりば,place where things are sold
