Expression,Meaning
高い,"tall, high; expensive"
～だけ,"only ~, just ~, as ~"
沢山,"many, much"
タクシー,taxi
出す,to take (something) out; to hand in (something)
～たち,plural suffix
立つ,to stand up
たて,"length, height"
建物,building
楽しい,"enjoyable, fun"
頼む,"to request, to ask (a favor)"
たばこ,"tobacco, cigarettes"
多分,"perhaps, probably, maybe"
食べ物,food
食べる,to eat
卵,egg
誰,who
誰か,someone
誕生日,birthday
段々,"gradually, by degrees"
小さい,"small, little"
小さな,"small, little"
近い,"near, close by, short"
違う,to be different; to differ; wrong
近く,nearby; in the neighborhood
地下鉄,"underground train, subway"
地図,a map
父,(my) father
茶色,brown
茶碗,rice bowl
～中,"during, while ~ing"
丁度,"just, right, exactly"
ちょっと,"a little, somewhat; just a little, somewhat"
一日,one day; first day of the month
使う,to use
疲れる,to get (become) tired; to become fatigued
次,next
着く,"to arrive at, to reach"
机,desk
作る,"to make, to create"
つける,"to turn on (e.g., a light); to take"
勤める,to work (for)
つまらない,"boring, dull; insignificant"
冷たい,"cold (things, people)"
強い,"strong, powerful"
手,hand
テープ,tape
テープレコーダー,tape recorder
テーブル,table
出かける,to go out; to depart
手紙,letter
できる,to be able to (to accomplish)
出口,an exit
テスト,test
では,"then, well, so"
デパート,(abbr.) department store
でも,"but, however"
出る,"to appear, to leave"
テレビ,"television, TV"
天気,weather
電気,"electricity, (electric) light"
電車,electric train
電話,a telephone
戸,door (Japanese style)
～度,counter for occurrences; ~ degree; ~ point
ドア,door (Western style)
トイレ,bathroom; toilet
どう,"how, in what way"
どうして,"why, for what reason"
どうぞ,"please, kindly, by all means"
動物,animal
どうも,Thank you; somehow; no matter how hard one may try
十,ten (~)
遠い,"far (away), distant"
十日,ten days; tenth day of the month
～時,at the time of ~
時々,sometimes
時計,a watch; a clock
どこ,"where, what place"
所,place
年,"year, age"
図書館,library
どちら,which (one) (way); where (polite)
どっち,"which one, which way"
とても,"very (much), greatly, exceedingly"
どなた,who
隣,"next to, next door to"
どの,which
飛ぶ,"to fly, to hop"
止まる,to come to a halt
友達,friend
土曜日,Saturday
鳥,"chicken (lit., bird)"
鶏肉,chicken meat
取る,to take (a class); to get (a grade)
撮る,"to take (a photo), to make (a film)"
どれ,which one
どんな,"what, what kind of"
ない,"there isn't, doesn't have"
ナイフ,knife
中,"inside, middle, among"
長い,"long, lengthy"
鳴く,to make sound (animal)
無くす,to lose something
なぜ,why (same as どうして)
夏,summer
夏休み,summer vacation
～など,et cetera
七つ,seven things
何,what
七日,seven days; seventh day (of the month)
名前,name
習う,to learn
並ぶ,"to line up, to stand in a line (v.i.)"
並べる,to put (things) side by side; to line up
なる,to become
何～,what sort of ~
二,two
にぎやか,"bustling, busy"
肉,meat
西,west
～日,"~ day of the month, for ~ days"
日曜日,Sunday
荷物,luggage; baggage
ニュース,news
庭,garden
～人,counter for people
脱ぐ,to take off (clothes)
温い,lukewarm
ネクタイ,"tie, necktie"
猫,cat
寝る,to sleep; to go to sleep; to go to bed
～年,~ years
ノート,notebook
登る,to climb
飲み物,"drink, beverage"
飲む,to drink
乗る,"to get on, to ride in, to board"
歯,tooth
パーティー,a party
はい,yes
～杯,counter for cupfuls
灰皿,ashtray
入る,"to enter, to contain, to hold"
葉書,postcard
はく,to put on (items below your waist)
箱,box
橋,bridge
箸,chopsticks
始まる,(something) begins
初め; 始め,"beginning, start"
初めて,for the first time
走る,to run
バス,bus; bath; bass
バター,butter
二十歳,20 years old
働く,to work
八,eight
二十日,"twenty days, twentieth (day of the month)"
花,flower
鼻,nose
話,"talk (chat), story"
話す,to speak
母,(my) mother
早い,early
速い,"fast, quick"
春,spring
貼る,to post; to paste; to attach
晴れ,clear (sunny) weather
晴れる,to be sunny
半,"half (e.g., にじはん | half-past two)"
晩,evening
～番,~st; ~th best
パン,bread
ハンカチ,handkerchief
番号,"number, series of digits"
晩御飯,"dinner, evening meal"
半分,half
東,east
～匹,counter for small animals
引く,"to pull, to draw; subtract"
弾く,to play (a string instrument or piano)
低い,"short, low"
飛行機,airplane
左,left hand side
人,"man, person"
一つ,one thing
一月,one month
一人,one person
暇,"free time, leisure"
百,hundred
病院,hospital
病気,illness; sickness
平仮名,hiragana
昼,"noon, daytime"
昼御飯,"lunch, midday meal"
広い,spacious; wide; broad
フィルム,film (roll of)
封筒,envelope
プール,swimming pool
フォーク,fork
吹く,"to blow (wind, etc.)"
服,clothes
二つ,two things
豚肉,pork
二人,two people
二日,two days; second day of the month
太い,"fat, thick"
冬,winter
降る,"to precipitate, to fall (e.g., rain, snow, etc.)"
古い,"old (in reference to objects, not people), aged, ancient"
～分,~ minutes
文章,"sentence, text"
ページ,a page
下手,"unskillful, poor"
ベッド,bed
ペット,pet
部屋,a room
辺,"area, vicinity"
ペン,pen
勉強,study
便利,"convenient, handy"
帽子,hat; cap
ボールペン,ball-point pen
外,"other, the rest"
ポケット,pocket
欲しい,"to want, in need of"
ポスト,"mailbox; post, position"
細い,"thin, slender, fine"
ボタン,button
ホテル,hotel
本,book
～本,counter for long cylindrical things
本棚,bookshelf
本当,"real, true"
～枚,counter for flat things
毎朝,every morning
毎月,"every month, monthly"
毎週,every week
毎日,every day
毎年,"every year, yearly, annually"
毎晩,every night
前,"before, in front"
～前,in front of ~
曲る,"to turn, to bend"
まずい,"terrible (in reference to food), unappetizing, unpleasant (taste)"
また,and; furthermore
まだ,"yet, still, besides"
町,town; city
待つ,to wait
まっすぐ,"straight (ahead), direct"
マッチ,match
窓,window
丸い; 円い,"round, circular"
万,ten thousand
万年筆,fountain pen
磨く,to brush (teeth); to polish
右,right hand side
短い,short (length)
水,water
店,"store, shop"
見せる,"to show, to display"
道,"road, street; way, directions"
三日,"three days, third day of the month"
三つ,three things
緑,green
皆さん,"all of you, everyone"
南,South
耳,ear
見る,"to see, to look"
みんな,"all, everyone, everybody"
六日,six days; sixth day of month
向こう,"beyond, over there"
難しい,difficult
六つ,six things
村,village
目,eye(s)
メートル,meter
眼鏡,eye glasses
もう,already; again; more
木曜日,Thursday
もしもし,Hello? (used on the phone)
持つ,"to hold, to carry; to possess"
もっと,more
物,thing (concrete object)
門,gate
問題,a problem
～屋,~ shop
八百屋,greengrocer
野菜,vegetable
易しい,"easy, plain, simple"
安い,inexpensive; cheap (things)
休み,holiday; day off; absence
休む,"to rest, to have a break, to get time off"
八つ,eight things
山,mountain
やる,"to do; to give (to pets, parents, siblings, etc.)"
夕方,"late afternoon (typically just before dinner time), evening"
夕飯,"dinner, supper, evening meal"
郵便局,post office
昨夜,last night
有名,famous
雪,snow
ゆっくりと,"slowly, at ease"
八日,eight days; eighth day of the month
洋服,Western-style clothes
よく,"frequently, often (much); well, skillfully"
横,beside; side; width
四日,four days; fourth day of the month
四つ,four things
呼ぶ,to call (one's name); to invite
読む,to read
夜,"evening, night"
弱い,weak
来月,next month
来週,next week
来年,next year
ラジオ,radio
ラジオカセ,radio cassette player
りっぱ,"splendid, fine"
留学生,international student
両親,"parents (lit., both parents)"
料理,cooking; cuisine
旅行,"travel, trip"
零,"zero, nought"
冷蔵庫,refrigerator
レコード,record
レストラン,restaurant
練習,(to) practice
廊下,corridor
六,six
ワイシャツ,"shirt (lit: white shirt), business shirt"
若い,young
分かる,to understand
忘れる,to forget
私,"I, myself"
私,"I (formal), myself, private affairs"
渡す,to hand (something) over (v.t.); to get across
渡る,"to cross over, to go across"
悪い,"bad, sinful; inferior"
踏む,"to step on, to tread on"
～区,"~ district, ~ ward, ~ borough"
すっと,"straight, quickly"
盗む,to steal; to rob
大抵,"generally, usually"
とうとう,"finally, at last"
ガソリン,"gasoline, petrol"
鳴る,"to sound, to ring (v.i.)"
しっかり,"firmly, steady"
生きる,to live
苦い,bitter
沸く,"to boil, to grow hot"
意見,"opinion, view, idea"
やはり; やっぱり,"as I thought, absolutely"
漫画,"comic (book), cartoon"
ステレオ,stereo
医学,medical science
テキスト,text; text book
～月,month
折る,"to snap, to break; to bend"
～会,~ meeting
うかがう,to ask
聞こえる,"to be heard, to be audible"
僕,I (used by men towards those of equal or lower status)
必ず,"surely, certainly"
壊す,"to break, to break down"
怒る,to get angry; to scold angrily
床屋,barber's (shop)
オートバイ,motorcycle (lit: auto-bi(ke))
運動,exercise
止む,"to cease, to stop"
もし,if
表,surface; front; outside
大学生,"college student, university student"
運転手,driver (by occupation)
予習,preparation of lessons (for class)
心配,"worry, concern"
別,"distinction, different"
非常に,extremely; very
お宅,(someone else's) house; home -- polite word for 家 (いえ) --
柔らかい,"soft (in reference to texture), tender"
拾う,"to pick up (something), to find"
～ございます,"to be (polite), to exist"
気,"spirit, mood"
比べる,to compare
ほとんど,"mostly, almost"
つもり,"intention, plan"
郊外,"suburb, outskirts"
だめ,"useless, no good, hopeless"
売り場,place where things are sold
正月,"New Year, New Year's Day"
規則,"rule, regulation"
うん,"yes (informal), all right (ok)"
発音,pronunciation
焼く,"to bake, to grill"
屋上,rooftop
失礼,"discourtesy, impoliteness; Excuse me"
ごみ,"trash, garbage"
アフリカ,Africa
点,"mark, score, grade; point, dot"
一生懸命,"very hard (as in ""to work hard""), with utmost effort"
今度,"now, this time, near future, one of these days, next time"
機会,"chance, opportunity"
建てる,to build
複雑,"complexity, complication"
彼,"he, boyfriend"
いらっしゃる,"-- honorific expression for いく, くる, and いる --"
布団,futon
大事,"important, valuable, serious matter"
贈り物,a gift; a present
泥棒,thief; burglar
～製,made in ~
注意,"caution, attention"
台風,typhoon
日,"sun, sunshine, day"
～軒,counter for houses
そう,"really, (is that) so; yes, right"
通る,"to pass (by), to go through"
過ぎる,"to exceed, to go beyond"
レポート; リポート,report
葉,leaf
必要,necessary
課長,section manager
地震,earthquake
すると,"and, then"
止める,"to end, to stop"
ガラス,"glass, pane"
～学部,department of a university
厳しい,hard; rigorous; strict
エスカレーター,escalator
人口,population
月,moon
絹,silk
ちっとも,not at all (neg. verb)
深い,"deep, profound"
壊れる,"to be broken, to break"
揺れる,"to shake, to sway"
落る,"to fall, to drop"
できるだけ,"if at all possible, as much as possible"
悲しい,"sad, sorrowful"
中学校,junior high school pupil
ガス,gas
祈る,to pray; to wish
盛ん,"prosperous, active, thriving"
アルバイト,part-time job
起こす,to wake (someone) up
致す,-- extra-modest expression for する --
噛む,"to bite, to chew"
赤ちゃん,"baby, infant"
浅い,"shallow, superficial"
うそ,lie
小説,novel
親,a parent
それに,moreover; besides
西洋,"the West, Western countries"
思う,"to think, to feel"
パート (タイム),part time (esp. female part time employees)
時代,"age, period, epoch, era"
申し上げる,"(humble)to say, to tell"
～式,~ ceremony; ~ style
出席,attendance
～家,person who is specialized in ~
迎える,to welcome; to meet; to greet
触る,"to touch, to feel"
建て,"~ storied, separate housing"
社長,president of a company
動物園,zoo
捕まえる,"to catch, to arrest"
季節,season (in reference to weather)
寄る,to stop by
決まる,to be set; fixed (v.i.)
開く,to open; to hold (an event)
逃げる,"to escape, to run away"
だから,so; therefore
残念,regret; regrettable
畳,tatami mat (Japanese straw mat)
丁寧,"polite, courteous, careful"
地理,geography
さっき,a little while ago
怖い,"scary, frightening"
包む,"to wrap, to cover"
なるべく,"if possible, as much as possible"
無理,"unreasonable, impossible"
サンドイッチ,sandwich
会議室,conference room
品物,goods
人形,"doll, figure"
利用,"use, utilization"
飾る,"to decorate, to adorn"
止める,to stop (something)
恥ずかしい,"ashamed, embarrassed"
いくら～ても,however much one may ~
用事,business to take care of; tasks; errands
ビル,(abbr.) building
けんかする,quarrel
頑張る,"to try one's best, to try hard, to persist"
投げる,"to pitch, to cast away"
故障,breakdown
力,"strength, power"
受ける,"to take (an examination, interview, etc.); to receive"
気分,"feeling, mood"
間違える,to make a mistake
そんな,"such, like that, that sort of"
星,star
場合,"case, situation"
やっと,"at last, finally"
足りる,to be sufficient; to be enough
行う,to carry out; to conduct (typically used in written language)
ぶどう,grapes
無くなる,"to disappear, to get lost"
準備,prepare
世界,world
住所,address; place of residence
再来月,the month after next
林,"woods, forest"
倍,double
痩せる,to lose weight
線,"line, wire"
戦争,war
決める,to decide (v.t.)
調べる,to check; to look up; to inquire; to search
寝坊,sleeping in late
パパ,"papa, daddy"
光る,"to shine, to glitter"
夫,husband
雲,cloud
坂,"slope, hill"
～(て) しまう,to end up ~
飛行場,airport
柔道,judo
決して,never
事務所,office
連絡,"communication, contact, connection"
小学校,elementary school
客,"guest, customer"
昔,old days; past
美しい,"beautiful, lovely"
捨てる,"throw away (trash), dump, discard"
なさる,-- honorific expression for する --
事,"thing(s), matter(s), fact"
どんどん,quickly and steadily; at a rapid pace
試合,"match, game, competition"
適当,"fitness, suitability"
素晴らしい,wonderful; terrific
美術館,"art gallery, art museum"
文法,grammar
終わり,end
壁,wall
一度,"once, one time"
お礼,expression of gratitude; thanking; gift of appreciation; bow
親切,kindness
知らせる,to notify
歯医者,dentist
熱心,enthusiasm
始める,"to start, to begin"
もらう,to receive
泣く,to cry
治る,to get better; to recover from illness (v.i.)
熱,"fever, temperature"
お祭り,festival
水道,"water service, water line"
匂い,"odor, smell"
ベル,bell
赤ん坊,baby
おかしい,strange; odd; funny
事故,accident
変,"strange, odd"
辞典,"encyclopedia, reference book"
残る,"to remain (v.i.), to be left"
立てる,"to stand (something) up, to erect (something)"
くれる,"to give, to do for"
～員,member of ~
原因,"cause, origin, source"
驚く,"to be surprised, to be astonished"
いただく,-- extra-modest expression for たべる and のむ; humble expression for もらう --
祖母,grandmother
場所,"place, location"
答,"answer, response"
もちろん,"certainly, of course"
漬ける,"to soak, to moisten, to pickle"
受付,reception(ist) desk
内,"within, inside"
スクリーン,screen
増える,"to increase, to multiply"
または,"or, otherwise"
けがする,"injury (to animate object), hurt"
以下,"less than, below"
選ぶ,to choose; to select
～ばかり,"just did ~, only"
心,"heart, mind"
～だす,to start doing ~
サラダ,salad
届ける,to deliver (v.t.)
あいさつする,greet(ing)
景色,"scenery, landscape"
確か,"if I remember correctly; certain, definite"
ステーキ,steak
食料品,"foodstuff, groceries"
森,forest
以内,"within, less (no more) than"
予定,"plans, arrangement, schedule"
オーバー,"overcoat; over, exceeding, exaggeration"
乾く,to get dry
石,stone
思い出す,"to recall, to remember"
踊る,to dance
細かい,"small; fine, minute"
塗る,"to paint, to plaster"
ご主人,"(your, her) husband"
珍しい,"unusual, rare"
用,"errand, task, business (to take care of)"
公務員,"government worker, public servant"
お嬢さん,(someone's) daughter (polite)
用意,preparation
探す,"to search, to seek, to look for"
形,shape
運転,driving
すっかり,"all, completely"
アナウンサー,announcer
お土産,souvenir
消しゴム,eraser
旅館,a Japanese inn
海岸,"coast, seashore"
寂しい,"lonely, lonesome"
火,fire
育てる,to raise (v.t.); to bring up
味噌,"miso, bean paste"
お祝い,"congratulation, celebration"
乗り物,vehicle
案内,"information, guidance"
通う,to go back and forth; to commute
連れる,"to lead, to take (a person)"
技術,"technique, technology, skill"
小鳥,small bird
下宿,"lodging, boarding house"
ジャム,jam
招待,invitation
鏡,mirror
はず,it should be so
法律,law
進む,"to advance, to proceed"
楽む,to enjoy
貿易,trade
反対,"oppose, opposition, resistance"
おる,-- extra-modest expression for いる --
申す,-- extra-modest (humble) expression for 言う (いう) --
試験,an exam
真面目,"diligent, serious"
ごらんになる,-- honorific expression for みる --
店員,clerk; shop-employee
泊まる,to stay (over night) (v.i.)
よろしい,"(hon.) good, OK, all right"
今夜,"this evening, tonight"
おつり,change; balance of money returned to the purchaser
チェックする,check
会話,conversation
空気,"air, atmosphere"
交通,"traffic, transportation"
ワープロ,word processor
喜ぶ,"to rejoice, to be delighted, to be glad"
急行,express train or bus
皆,everyone
味,"flavor, taste"
空港,airport
手袋,glove(s)
校長,"principal, headmaster"
ごちそう,"feast, treating (someone)"
踊り,dance
興味,interest (in something)
引っ越す,to move to a new place of residence
冷房,"cooling, air conditioning"
都合,"circumstances, convenience"
遠慮,"restraint, reserve, hesitate"
亡くなる,to pass away
科学,science
はっきり,"clearly, distinctly"
差し上げる,-- humble expression for あげる --
気持ち,"feeling, sensation, mood"
祖父,grandfather
港,"harbor, port"
予約,reservation
凄い,"terrific, great"
入学,entry to school or university
片付ける,"to (clean) tidy up (v.t.), to put away"
写す,to copy (v.t.); to photograph
パソコン,(personal) computer
部長,department (division) manager
火事,fire
足す,to add (numbers)
教会,church
彼ら,they (usually male)
いっぱい,"full, to the utmost"
アメリカ,"America, U.S.A."
男性,man; male
理由,reason
生産,production; to produce
着物,kimono; Japanese traditional dress
おもちゃ,a toy
暮れる,"to get dark, to come to an end"
釣る,to fish
～ちゃん,suffix for familiar (female) person
打つ,"to hit, to strike"
あんな,"such, like that"
謝る,to apologize
昼間,"daytime, during the day"
教育,education
女性,woman
米,uncooked rice
邪魔,"hindrance, intrusion"
国際,international
隅,corner
伺う,"humble form of 行く (いく), 聞く (きく) and 来る (くる)"
再来週,the week after next
夢,a dream
喉,throat
最近,"recently, nowadays, in recent years, most recent, latest"
周り,surroundings
歴史,history
不便,inconvenience
血,blood
～続ける,to continue doing ~
毛,"hair, fur"
ひどい,"terrible, awful, unfair, cruel"
例えば,"for example, e.g."
中々,"very, considerably, quite"
随分,extremely
～やすい,easy to do ~
押し入れ,closet
電灯,electric light
叱る,to scold
サンダル,sandal
びっくりする,to be surprised
うまい,delicious; skillful; fortunate
変える,"to change, to alter, to vary"
講堂,auditorium
子,child
沸かす,to boil
レジ,register
しばらく,little while
特に,particularly
空く,"to open, to become empty (vacant)"
計画,"plan, project, schedule"
通り,"~ Street, ~ Avenue"
下着,underwear
経済,"economics, finance, economy"
こう,"like this, this way"
是非,"certainly, by all means; without fail"
裏,"reverse side, back"
為,"good, advantage, in order to"
おいでになる,(hon.) to be
変わる,"to change (v.i.), to be transformed, to vary"
以外,"other than, with the exception of, excepting"
済む,"to finish, to end"
ハンバーグ,hamburger steak
市,city
引き出し,drawer
遊び,play
支度,preparation
～始める,to start doing ~
見える,to be visible; -- polite verb meaning 来る (くる) --
十分,enough
音,"sound, note"
きっと,"surely, definitely, undoubtedly, certainly"
まず,"first (of all), to start with"
遠く,"far away, distant"
大体,approximately; in most cases; in general; to begin with (same as もともと)
折れる,"to break, to be folded, to give in; to turn (a corner)"
正しい,correct
輸入,import
返事,"reply, answer"
都,metropolitan
産業,industry
伝える,"to convey (a message); to tell, to report"
お金持ち,rich person
説明,explanation
島,island
道具,tool
滑る,"to slide, to slip"
それほど,to that degree; extent
以上,more than; this is all
～まま,as it is
特急,limited express (train faster than an express)
プレゼント,"present, gift"
～(に) よると,according to ~
妻,wife (humble)
帰り,"return, coming back"
具合,"condition, state, health"
堅; 硬; 固い,"solid, hard, firm"
駐車場,parking lot
スーツ,suit
危険,"danger, risk, hazard"
髪,hair
天気予報,weather forecast
彼女,girlfriend; she
間,"space, interval"
卒業,graduation
それで,"and (conj.), thereupon, because of that"
枝,"branch, twig"
専門,major; speciality
そろそろ,"gradually, soon"
送る,"to send, to dispatch"
あげる,to give
騒ぐ,"to make noise, to clamor"
尋ねる,to inquire (same as 質問する)
放送,broadcasting
政治,politics
市民,citizen
ファックス,fax
負ける,"to lose (a game) (v.i.), to be defeated"
